section,heading,xpath,auth_file,auth_section,auth_col,separator,format,comment
leaves,height,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:tdimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//tei:dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:height[@quantity]/@quantity|tei:height[not(@quantity)]), "" ""))",,,,,number,"The height of the leaves of the manuscript or manuscript part, as encoded within the height element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm. When a manuscript unit is a part but is not a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
leaves,height max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:height/@max|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum height of the leaves of the manuscript or manuscript part, as encoded within the @max attribute of the height element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm. When a manuscript unit is a part but is not a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
leaves,height min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:height/@min|tei:height[@quantity]/@quantity|tei:height[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum height of the leaves of the manuscript or manuscript part, as encoded within the @min attribute of the height element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm. When a manuscript unit is a part but is not a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
leaves,width,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:width[@quantity]/@quantity|tei:width[not(@quantity)]), "" ""))",,,,,number,"The width of the leaves of the manuscript or manuscript part, as encoded within the width element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,width max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:width/@max|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum width of the leaves of the manuscript or manuscript part, as encoded within the @max attribute of the width element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm. When a manuscript unit is a part but is not a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
leaves,width min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:width/@min|tei:width[@quantity]/@quantity|tei:width[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum width of the leaves of the manuscript or manuscript part, as encoded within the @min attribute of the width element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm. When a manuscript unit is a part but is not a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
leaves,depth,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:depth[not(@quantity)]|tei:depth[@quantity]/@quantity), "" ""))",,,,,number,"The depth of the leaves of the manuscript or manuscript part, as encoded within the depth element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value may or may not be numeric. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,depth max,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:depth/@max|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" ""))",,,,,number,"The maximum depth of the leaves of the manuscript or manuscript part, as encoded within the @max attribute of the depth element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value is numeric. When no maximum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm. When a manuscript unit is a part but is not a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
leaves,depth min,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/(tei:depth/@min|tei:depth[@quantity]/@quantity|tei:depth[not(@quantity)])[last()], "" ""))",,,,,number,"The minimum depth of the leaves of the manuscript or manuscript part, as encoded within the @min attribute of the depth element within a dimensions element with @type ""leaf"", contained within either the support or layout description. This value is numeric. When no minimum value is present because the measurement does not contain a range, that non-range measurement is inherited. In many cases measurements may be rounded, for example to the nearest 5mm."
leaves,unit,"(//tei:msDesc|//tei:msPart)/string-join(distinct-values(((self::tei:msDesc|self::tei:msPart[.//tei:dimensions[@type=""leaf""]]|self::tei:msPart[not(.//tei:dimensions[@type=""leaf""] or @type=""wrapper"")]/ancestor::msDesc[.//dimensions[@type=""leaf""]])[last()]/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent)[.//tei:dimensions[@type=""leaf""]]|ancestor::tei:msDesc/tei:physDesc/tei:objectDesc/(tei:layoutDesc/tei:layout|tei:supportDesc/tei:extent))[last()]//tei:dimensions[@type=""leaf""]/@unit), "" "")",,,,,text,"The unit of the leaf measurements, as encoded within the unit element of a dimensions element with @type ""leaf"", within either the support or layout description. Common values are mm and in. When a manuscript unit is a part but is not a wrapper, this value is inherited from the whole manuscript if a value is absent from the part."
layouts,n,"(//tei:msDesc|//tei:msPart)/string-join(string(count(tei:physDesc/tei:objectDesc/tei:layoutDesc/tei:layout)[.>0]), """")",,,,,number,"An integer count of the number of different layouts contained within a manuscript or manuscript part, calculated by counting the number of layout elements within the layout description. When none are found, the cell is left empty."
contents,summary,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:msContents/tei:summary/string-join(.,""""), "" ""))",,,,,text,"A summary of the manuscript or manuscript part's contents, as encoded within the summary element of the msContents element."
contents,lang(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:msContents/tei:textLang/string-join(.,""""), "" ""))",,,,,text,"Languages contained within the manuscript or manuscript part, as encoded within the textLang element within the msContents element."
contents,lang code(s),"(//tei:msDesc|//tei:msPart)/string-join(distinct-values((tei:msContents/tei:textLang/(@mainLang|@otherLangs) | //tei:msItem/tei:textLang/(@mainLang|@otherLangs))/tokenize(.,"" "")), "" "")",,,,,text,"ISO code for the main language of the contents of the manuscript or manuscript part, as encoded within the @mainLang attribute to the textLang element within the manuscript contents."
contents,n items and parts,"(//tei:msDesc|//tei:msPart)/string-join(string(count(tei:msContents//tei:msItem)[.>0]), "" "")",,,,,number,"An integer count of the number of items and sub-items within the manuscript or manuscript part. When none are found, the cell is left empty."
contents,work ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:msContents/tei:msItem/tei:title/@key), "" ""))",,,,,text,"The identifier(s) given to the work(s) within the manuscript or manuscript part, as found in the @key attribute to the title element within an individual msItem within the manuscript contents, which correspond to those found in the authority file. When multiple works are contained within a manuscript or manuscript part, the identifiers are separated by a space."
contents,title(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:msContents/tei:msItem/tei:title/string-join(.,""""), ""; ""))",,,,,text,"The title(s) of the work(s) within the manuscript or manuscript part, as found in the title element within an individual msItem within the manuscript contents. When multiple works are contained within a manuscript or manuscript part, the identifiers are separated by a semi-colon."
contents,standard title(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:msContents/tei:msItem/tei:title/@key), "" ""))",works,title,uniform,semi-colon,text,"The standardised title(s) of the work(s) within the manuscript or manuscript part, extracted from the authority files. When multiple works are contained within a manuscript or manuscript part, the titles are separated by a semi-colon."
contents,class(es),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:msContents/tei:msItem/@class/translate(., ""#"", """")), "" ""))",,,,,text,"Classes associated with the work(s) within the manuscript or manuscript part, as found in the @class attribute within an individual msItem within the manuscript contents. When multiple values appear, they are separated by a space."
contents,subject(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:msContents/tei:msItem/tei:title/@key), "" ""))",works,subjects,list,semi-colon,text,"The subject(s) associated with the work(s) within the manuscript or manuscript part, extracted from the authority files. When multiple values appear, they are separated by a semi-colon."
contents,subject URI(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:msContents/tei:msItem/tei:title/@key), "" ""))",works,subjects,URI(s),space,text,"URI(s) for the subject(s) associated with the work(s) within the manuscript or manuscript part, extracted from the authority files. When multiple values appear, they are separated by a space."
contents,author(s) referenced,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:msContents/tei:msItem//tei:author/string-join(.,""""), ""; "")) ",,,,,text,"Details of the author(s) given for the work(s) contained within each manuscript or manuscript part, as encoded within the author element within each msItem in the manuscript contents. When multiple authors are given within a manuscript or manuscript part, they are separated by a semi-colon."
contents,author ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:msContents/tei:msItem//tei:author/@key), "" ""))",,,,,text,"The identifier(s) given to the author(s) given for the work(s) contained within the manuscript or manuscript part, as found in the @key attribute to the author element within an individual msItem within the manuscript contents, which correspond to those found in the authority file. When multiple authors are given within a manuscript or manuscript part, they are separated by a space."
accompanying material,overview,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat/string-join(., """"), "" ""))",,,,,text,"Accompanying details included within the catalogue entry for the manuscript or manuscript part, as encoded within the accMat element within the physical description."
accompanying material,locus,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat//tei:locus[text()]/string-join(.,""""), ""; ""))",,,,,text,"Details of any locus or loci included within a locus element within the accMat element. When multiple loci are given, they are separated using a semi-colon."
accompanying material,person(s) referenced,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat//tei:persName/string-join(.,""""), ""; ""))",,,,,text,"The names of any person(s) referenced within the accompanying material, as encoded within a persName element within the accMat element. When multiple persons are given, they are separated using a semi-colon."
accompanying material,person ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:physDesc/tei:accMat//tei:persName/@key), "" ""))",,,,,text,"The identifier(s) given to the person(s) associated with the manuscript or manuscript part, as found in the @key attribute to a persName element within the accMat element, which correspond to those found in the authority file. When multiple persons are given for the accompanying material to a manuscript or manuscript part, they are separated by a space."
accompanying material,place(s) referenced,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat//tei:placeName/string-join(.,""""), ""; ""))",,,,,text,"The names of any place(s) referenced within the accompanying material, as encoded within a placeName element within the accMat element. When multiple places are given, they are separated using a semi-colon."
accompanying material,place ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:physDesc/tei:accMat//tei:placeName/@key), "" ""))",,,,,text,"The identifier(s) given to the place(s) associated with the manuscript or manuscript part, as found in the @key attribute to a placeName element within the accMat element, which correspond to those found in the authority file. When multiple places are given for the accompanying material to a manuscript or manuscript part, they are separated by a space."
accompanying material,org(s) referenced,"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat//tei:orgName/string-join(.,""""), ""; ""))",,,,,text,"The names of any organisation(s) referenced within the accompanying material, as encoded within a orgName element within the accMat element. When multiple organisations are given, they are separated using a semi-colon."
accompanying material,org ID(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(distinct-values(tei:physDesc/tei:accMat//tei:orgName/@key), "" ""))",,,,,text,"The identifier(s) given to the organisation(s) associated with the manuscript or manuscript part, as found in the @key attribute to a orgName element within the accMat element, which correspond to those found in the authority file. When multiple organisations are given for the accompanying material to a manuscript or manuscript part, they are separated by a space."
accompanying material,title(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat//tei:title/string-join(.,""""), ""; ""))",,,,,text,"Details of any title(s) given for bibliographic material within the accompanying material, as encoded within a title element. When multiple titles are given, they are separated using a semi-colon."
accompanying material,ref(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat//tei:ref/string-join(.,""""), ""; ""))",,,,,text,"Details of any reference(s) given for bibliographic material within the accompanying material, as encoded within a ref element. When multiple references are given, they are separated using a semi-colon."
accompanying material,ref URI(s),"(//tei:msDesc|//tei:msPart)/normalize-space(string-join(tei:physDesc/tei:accMat//tei:ref/@target, "" ""))",,,,,text,"Details of any URI(s) given for bibliographic material within the accompanying material, as encoded within a ref element. When multiple references are given, they are separated using a space."
