binding URI,file URL,msID,shelfmark,collection,binding,condition,decoNote,binding contemporary,binding not after,binding not before,binding height,binding height max,binding height min,binding width,binding width max,binding width min,binding depth,binding depth max,binding depth min,binding unit
MS_Canon_Liturg_287_binding_1,manuscript_2975,MS_Canon_Liturg_287,MS. Canon. Liturg. 287,Canon Liturg,"18th century, second half, , , a fine binding, perhaps for M. L. Canonici himself: pasteboards; polished green leather, gilt tooled with rolls (including a Greek key pattern) and floral stamps, framing on each cover a small round centrepiece of a profile male head on spiralling circles; board-edges and turn-ins also gilt-rolled; spine with all-over gilt tools and a gilt red-leather label; paste-downs and flyleaves of marbled paper; white paper flyleaves watermarked ‘ROMA’ with ‘F B’; no clasps; edges gilt and gauffered from an earlier binding; many leaves lost before present binding. (book closed).ItalianVenice 14997–99c. 2318th century, second half, , , telescopic box made for the present binding: thin card with rounded back, covered with red leather; gilt-tooled with thin rolls, stamps, and lines around every edge and every side; box lined with carta bassanese, with a simple geometric zig-zag pattern of red on white. (box closed). Cf. boxes of MSS. Canon. Liturg. 114 and 178.ItalianVenice 155–157106–107c. 29–30",,,,1800,1750,149 155–157,149 157,149 155,97–99 106–107,99 107,97 106,23 c. 29–30,23 30,23 29,mm mm
MS_Canon_Liturg_289_binding_1,manuscript_2976,MS_Canon_Liturg_289,MS. Canon. Liturg. 289,Canon Liturg,"Soranzo’s binding: parchment over pasteboard; small stiff flaps on the fore-edges of covers. ‘289’ written in black ink on spine. Brown leather label on spine, framed with gilt arabesque designs, with gilt lettering ‘BREV. ROM. || JUXTA RIT. || CONSUET. || COD . MEMB.’. Fragment of a paper label on spine printed ‘Can[on.] || Lit[urg ... ]’. Pastedowns and fly-leaves of stiff paper with burgundy, purple and yellow floral designs (carta bassanese). Further fly-leaves made of 18th-century laid paper; no watermarks.",,,,1750,1700,,,,,,,,,,
MS_Canon_Liturg_291_binding_1,manuscript_2979,MS_Canon_Liturg_291,MS. Canon. Liturg. 291,Canon Liturg,"18th century?, : pasteboards; polished brown leather, blind-tooled with triple lines and stamps to form on each cover an outer panel with centre left bare; spine tooled with double lines around the three bands and a floral tool in each panel, no title or label; two fore-edge clasps with brown leather straps tooled with blind double lines, each tipped with a fine dark-metal scallop-shaped catch which once fitted onto a lost pin at the edge of the lower board; edges speckled with red and brown. (book closed). Identical clasps are at MS. Canon. Liturg. 158, but with different 18th-century binding style.Italian 169–170122c. 30",,,,1800,1700,169–170,170,169,122,122,122,30,30,30,mm
MS_Canon_Liturg_293_binding_1,manuscript_2981,MS_Canon_Liturg_293,MS. Canon. Liturg. 293,Canon Liturg,"15th century, c. 1428 or after, Dalmatian coast: wood boards, left bare, slightly polished; spine formerly of red leather (later replaced), stretched about one third across each board, no signs of fixing nails; remains of a single broad central fore-edge strap of red tawed leather, nailed into a slot at front board and running to a lost catch-plate at the back; edges plain; paste-downs and conjoint flyleaves from a large Latin canon-law manuscript, 14th century, Italian (Constitutiones Clementinae, Bk. V). Spine replaced with light brown leather, late 19th century, Bodleian. (book closed). 185–189135c. 33–35The binding of this early 15th-century (?) manuscript incorporates at the end (fols. 102–110) a table and index added 1428 by a Croatian Franciscan at on the Dalmatian coast; with a later owner from .ItalianBribirSplit",,,,1500,1400,185–189,189,185,135,135,135,c. 33–35,35,33,mm
MS_Canon_Liturg_297_binding_1,manuscript_2984,MS_Canon_Liturg_297,MS. Canon. Liturg. 297,Canon Liturg,"17th century or 18th century, : thick wood boards, no bevel, square-cut with large squares and a strap-groove at centre edge of front board; inside boards are bare wood; light brown leather covering the strap-groove and not allowing for any clasp(s), blind-tooled with double lines and one bee(?)-tool to form a simple panel with crossing diagonals, and with a thin wavy roll near edges; spine lost; edges plain. Same style (archaizing?) as at MSS. Canon. Liturg. 324 and 340. Rebacked in similar leather, late 19th century, Bodleian. (book closed).Italian 224–225155c. 98–104Traces of lost medieval binding, origin unclear: a former front paste-down at fol. 1 (and flyleaves at fols. 2 and ?353), with traces of pink tawed leather (perhaps from a chemise) and of two fore-edge clasps.",,,,1800,1600,224–225,225,224,155,155,155,c. 98–104,104,98,mm
MS_Canon_Liturg_301_binding_1,manuscript_2988,MS_Canon_Liturg_301,MS. Canon. Liturg. 301,Canon Liturg,"15th century, end (as MS.), : wood boards, narrow inside bevel; brown leather; all-over blind and gilt tooling and painting, with small red highlights in Ottoman-inspired design, and initials and arms of on each board (the surviving initials are on the outside corners, probably replicated on the inside corners now hidden by reback); arms painted red under a mitre, echoing fol. 1r; traces of two lost fore-edge clasps; edges gilt, gauffered; fly-leaves of green or purple parchment (characteristic of Sallando). Rebacked in matching leather with gilt lines and gilt green-leather label, paste-downs and flyleaves of carta bassanese, 18th century, Italian, Venice, for Jacopo Soranzo (= Sor. 837 in quarto). (book closed).VeniceN[iccolò] F[ranco], E[p.] of T[reviso, 1485/6–1499] 229–231137–14028",,,,1500,1475,229–231,231,229,137–140,140,137,28,28,28,mm
MS_Canon_Liturg_306_binding_1,manuscript_2990,MS_Canon_Liturg_306,MS. Canon. Liturg. 306,Canon Liturg,"15th century, (as MS.): severe damp damage, ? from immersion; pasteboards (probably late replacements); original cover of dark brown leather, blind-tooled with multiple lines, tools, dots and strapwork; spine lost; no clear surviving evidence of clasps, unless possibly of a central strap-and-pin fastening; outlines of a small circular metal fitting at the centre of each cover; edges plain, distorted. Heavily repaired with reback in lighter brown leather and probably new boards, late 19th century, Bodleian. (book closed).Italian c. 218150c. 110–115",,,,1500,1400,218,218,218,150,150,150,c. 110–115,115,110,mm
MS_Canon_Liturg_308_binding_1,manuscript_2991,MS_Canon_Liturg_308,MS. Canon. Liturg. 308,Canon Liturg,"15th century or early 16th century, : wood boards with narrow inside bevel; dark red polished leather, blind-tooled with multiple lines and an arabesque roll(?) to form an empty panel on each cover, lines also on the turn-ins; spine with similar blind tooling, but damaged and covered with later paper; traces of two fore-edge clasps with lost straps of leather over parchment cores; parchment spine-liners from a Latin liturgical manuscript, 14th or 15th century, Italian; edges gilt, probably gauffered (very worn). Spine crudely covered in yellowish paper with ink title, 18th century, Italian. (book closed). The manuscript, partly a processional, is from the .Italian 219–220144–145c. 20‘nuns of St. Louis’ [of Toulouse], perhaps at Sant’Alvise, Venice",,,,1525,1400,219–220,220,219,144–145,145,144,20,20,20,mm
MS_Canon_Liturg_311_binding_1,manuscript_2993,MS_Canon_Liturg_311,MS. Canon. Liturg. 311,Canon Liturg,"Red leather over wood boards, worn and damaged by worms. Border of gilt laurel leaves round the outer edge of both covers. Sewn on four cords, four raised bands on spine, outlined with gilt fillet lines. Label on spine of dark green leather with gilt borders and gilt lettering ‘PSALTERIU(M) || ET || LECTIONAR. || ETC.’. Gilt lettering at the centre of spine: ‘COD . MEM’. ‘311’ painted white on spine. Pastedowns of paper with dark green and burgundy criss-cross and floral designs. Fly-leaves of laid paper, no watermarks. Fols. 122–123 have marks and perforations around the edges left by an earlier binding.",,,,1800,1700,,,,,,,,,,
MS_Canon_Liturg_316_binding_1,manuscript_2998,MS_Canon_Liturg_316,MS. Canon. Liturg. 316,Canon Liturg,"15th century, before 1474, (as MS.): wood boards with broad shallow bevel; brown leather, blind-tooled with lines, stamps, strapwork, and with dots showing traces of beige colour; spine lost; traces of a single lost clasp at centre of fore-edge; edges plain; flyleaves are fragments from a Latin glossed MS., 14th century?, Italian (badly worn); the bare wood of the inside front cover includes an ink ex libris dated 1474 and an incised coat of arms. Rebacked in lighter brown leather, later 19th century, Bodleian. (book closed).Italian 190130–132c. 20–21",,,,1474,1400,190,190,190,130–132,132,130,c. 20–21,21,20,mm
MS_Canon_Liturg_317_binding_1,manuscript_2999,MS_Canon_Liturg_317,MS. Canon. Liturg. 317,Canon Liturg,"15th century, (as MS.): wood boards with pronounced inside bevel and rounded corners, probably always bare, in quarter-leather style; the original spine of dark leather (lost) stretched nearly halfway across each board, secured there by a vertical row of five nails which were evidently saved and reused later for the narrower reback; remains of a single clasp at centre fore-edge with a lost strap of thick tawed leather; endleaves (fols. 1, 41) are fragments from a Greek martyrology(?), 12th century; a 15th(?)-century table of contents is written in ink on the bare inside front board. Rebacked in light brown leather, later 19th century, Bodleian. (book closed).Italian 221154–156c. 24",,,,1500,1400,221,221,221,154–156,156,154,24,24,24,mm
MS_Canon_Liturg_318_binding_1,manuscript_3000,MS_Canon_Liturg_318,MS. Canon. Liturg. 318,Canon Liturg,"15th century, (as MS.): wood boards with inside bevel, rounded corners; brown leather, blind-tooled with lines, stamps and strapwork to form on each cover a panel around a large strapwork cross on a base (very worn); spine plain; single central clasp, extant, with a strap of thick tawed? leather and brass tip, running to a flat trefoil-shaped brass catch-plate on lower cover; edges plain; front paste-down (lifted) and flyleaf from a 12th-century Latin Passional, with fragments of feasts for 4 Dec. (St. Barbara and St. Peter Chrysologus) in large, rounded Italian script; lower paste-down (and flyleaf?) from the same manuscript, but now missing. (book closed).Italian 150–152111c. 24",,,,1500,1400,150–152,152,150,111,111,111,24,24,24,mm
MS_Canon_Liturg_319_binding_1,manuscript_3001,MS_Canon_Liturg_319,MS. Canon. Liturg. 319,Canon Liturg,Modern red leather binding.,,,,,1700,,,,,,,,,,
MS_Canon_Liturg_322_binding_1,manuscript_3005,MS_Canon_Liturg_322,MS. Canon. Liturg. 322,Canon Liturg,"A composite binding of early boards, reused with later leather:14th century, late, or 15th century, : wood boards with inside bevel, and an indentation under the later leather at centre fore-edge (inside), perhaps from a fitting for a single clasp. Fols. 133–134 were perhaps the endleaves for this binding: a discoloured bifolium containing fragments of Disticha Catonis (II. 5–III. 9) and of a Latin grammatical text, 14th century, Italian.Italian",,,,1425,1375,253,253,253,167–171,171,167,c. 50–56,56,50,mm
MS_Canon_Liturg_322_binding_2,manuscript_3005,MS_Canon_Liturg_322,MS. Canon. Liturg. 322,Canon Liturg,"18th century, , a standard style of the Canonici collection, reusing the earlier boards: lightish brown diced leather, blind-tooled with lines and rolls to form two outer frames and an inner diamond shape without centrepieces; no clasp(s) allowed for by this leather; blue and white marbled endleaves; edges plain. (book closed).Italian 253167–171c. 50–56",,,,1800,1700,253,253,253,167–171,171,167,c. 50–56,56,50,mm
MS_Canon_Liturg_323_binding_1,manuscript_3006,MS_Canon_Liturg_323,MS. Canon. Liturg. 323,Canon Liturg,"16th century, mid?, , : wood boards, all corners rounded; dark reddish-brown leather, sparsely blind-tooled with septuple lines round edges and single diagonal lines crossing at the centre; traces of two clasps with lost leather straps (with parchment cores) and of four lost circular bosses on each cover; spine and edges plain. Textblock very worn and discoloured throughout, evidently through constant use in liturgy for a long period. (book closed).ItalianVenice 248–249180–182c. 52–53",,,,1560,1540,248–249,249,248,180–182,182,180,c. 52–53,53,52,mm
MS_Canon_Liturg_324_binding_2,manuscript_3007,MS_Canon_Liturg_324,MS. Canon. Liturg. 324,Canon Liturg,"Traces of the lost original binding, before 1255, : fols. iii and 195 (with date 1255) were the old parchment paste-downs(?), with traces of leather turn-ins and a central clasp.German",,,true,1255,,233–235,235,233,163–164,164,163,c. 73–77,77,73,mm
MS_Canon_Liturg_324_binding_1,manuscript_3007,MS_Canon_Liturg_324,MS. Canon. Liturg. 324,Canon Liturg,"17th century or 18th century, : sewn on three wide slit straps, laced horizontally into thick wood boards, no bevel, square-cut with broad squares and a strap-groove at centre edge of front board beneath the leather; inside boards are bare wood; light brown leather over the groove, not allowing for clasp(s), blind-tooled with double lines and one bee(?)-tool to form a simple panel with crossing diagonals; spine lost; edges plain, top edge speckled with dark spots, perhaps deliberate. Same (archaizing?) style as at MSS. Canon. Liturg. 297 and 340. Rebacked in matching leather, 20th century, Bodleian. (book closed).Italian 233–235163–164c. 73–77",,,,1800,1600,233–235,235,233,163–164,164,163,c. 73–77,77,73,mm
MS_Canon_Liturg_325_binding_1,manuscript_3008,MS_Canon_Liturg_325,MS. Canon. Liturg. 325,Canon Liturg,"18th-cent. brown calf, the covers framed with a blind and gilt roll tools, a standard Canonici style; marbled endpapers; rebacked, reusing the title-piece lettered in gilt capitals: ‘Ordo Div. Off | Mirac. BV et SS | et alia &c | cod. membr’. The first and last leaves with rust stains and holes caused by the metal fittings of a previous binding.",,,,1800,1700,,,,,,,,,,
MS_Canon_Liturg_33_binding_1,manuscript_3013,MS_Canon_Liturg_33,MS. Canon. Liturg. 33,Canon Liturg,"15th century, end, (as MS.): wood boards with narrow inside bevel; hard, dark brown polished leather, cuir ciselé, each cover incised with a panel of elaborate acanthus foliage stemming from a small vase at foot, in relief on a stippled ground; spine similarly decorated; traces of a lost central clasp, and of diagonal oversewing of endbands in red and green thread; gilt gauffered edges (worn). Added on spine, 17th or 18th century, a large paper label and a red wax seal with a damaged impression of a lion rampant; trace of similar red wax at centre of back cover. A miniature book, (book closed).Italian 9266–67c. 40",,,,1500,1400,92,92,92,66–67,67,66,40,40,40,mm
MS_Canon_Liturg_332_binding_1,manuscript_3016,MS_Canon_Liturg_332,MS. Canon. Liturg. 332,Canon Liturg,"16th century?, : thin pasteboards, left largely bare; quarter-binding with spine of reused parchment extending across about a quarter of each bare cover; no decoration, ties or endleaves; title added in ink at top of front cover, ?16th century, and repeated below, ?18th century. (book closed). The spine-fragment is from a Latin biblical manuscript in Caroline minuscule, 9th century?, with text from Joshua 2–3.Italian 246–247175–177c. 15–16",,,,1600,1500,246–247,247,246,175–177,177,175,c. 15–16,16,15,mm
MS_Canon_Liturg_333_binding_1,manuscript_3017,MS_Canon_Liturg_333,MS. Canon. Liturg. 333,Canon Liturg,"18th century, : wood? boards, no bevel; lightish brown leather, tooled with triple gilt lines and a blind roll to form an outer frame on each cover, around a large blind decorative centrepiece; spine with gilt lines and a gilt stamp in each panel, gilt red-leather label; no clasps; metal corner-pieces at the outer corners only, two to each cover, each with a domed boss and floral decoration (late 15th century, transferred from MS. Canon. Misc. 409); edges plain, with slight shadows of two straps from a former binding; paste-downs of carta bassanese. Rebacked (old spine re-laid) at Bodleian, 1940s (perhaps dated 23 Nov. 1948, but indistinctly written). (book closed).Italian 235–238c. 168c. 48–51",,,,1800,1700,235–238,238,235,168,168,168,c. 48–51,51,48,mm
MS_Canon_Liturg_334_binding_1,manuscript_3018,MS_Canon_Liturg_334,MS. Canon. Liturg. 334,Canon Liturg,"15th century, mid, (as MS.): wood boards, steep outside bevel, large squares; shiny red tawed leather with delaminating tears, undecorated, spine plain; traces of central fore-edge clasp with lost strap of thick tawed leather running from back cover to front, and of 4+1 circular bosses on each cover, all lost; edges plain; two early bookmarks, one tipped with red leather. Paper paste-downs added when the original paste-downs were lifted, late 19th or early 20th century, Bodleian. (book closed).Austrian 232–234157c. 27–32",,,,1460,1440,232–234,234,232,157,157,157,c. 27–32,32,27,mm
MS_Canon_Liturg_340_binding_1,manuscript_3022,MS_Canon_Liturg_340,MS. Canon. Liturg. 340,Canon Liturg,"17th century or 18th century, : thick wood boards, no bevel, square-cut with large squares and a redundant strap-groove at centre edge of front board beneath the leather; paper paste-downs and flyleaves with ‘three moons’ watermarks; light brown leather over the groove and not allowing for any clasp(s), blind-tooled with double lines and one bee(?)-tool to form a simple panel with crossing diagonals, and with a thin wavy roll near edges; spine lost except for gilt red-leather label; edges plain. Same style (archaizing?) as at MSS. Canon. Liturg. 297 and 324.ItalianRebacked in similar leather, late 19th century, Bodleian, preserving the earlier label. (book closed). 293–295197–198c. 75The manuscript’s last page (fol. 153v) preserves scant stains from a previous binding.",,,,1800,1600,293–295,295,293,197–198,198,197,75,75,75,mm
MS_Canon_Liturg_341_binding_1,manuscript_3023,MS_Canon_Liturg_341,MS. Canon. Liturg. 341,Canon Liturg,"18th century, Italian, a standard Canonici style: brown leather over wooden boards, blind tooling around the cover edges. Rust stains from an earlier binding on fol. 1r.",,,,1800,1700,,,,,,,,,,
MS_Canon_Liturg_343_binding_1,manuscript_3025,MS_Canon_Liturg_343,MS. Canon. Liturg. 343,Canon Liturg,"c. 1500, (as MS.): wood boards, inside bevel; polished reddish-brown leather, blind-tooled with multiple lines, stamps, strapwork and a centrepiece of ‘yh’s’ in a small circle on each cover; spine lost; remains of two strap-and-pin fastenings with lost straps of similar leather over parchment cores, fixed on the front cover with surviving star-shaped nails and running to lost pins with squarish bases halfway across the lower board; edges gilt, gauffered. Rebacked, later 19th century (‘new’ in 1897), Bodleian. (book closed).Italian 282–283199–202c. 70–80",,,,1510,1490,282–283,283,282,199–202,202,199,c. 70–80,80,70,mm
MS_Canon_Liturg_347_binding_1,manuscript_3029,MS_Canon_Liturg_347,MS. Canon. Liturg. 347,Canon Liturg,"15th century, end, (as MS., manual for the ): wood boards, inside bevel; dark red leather, blind-tooled with lines, dots and strapwork to form a circular (front) or cross-shaped (back) centrepiece; spine lost; two strap-and-pin fastenings from front edge to pins halfway across back, with elaborate brass catches but straps replaced; edges plain. Reback and new straps, 18th century?, . (book closed).ItalianFranciscan nuns of Sant’Onofrio, FlorenceItalian 263–265186c. 22–23",,,,1500,1400,263–265,265,263,186,186,186,c. 22–23,23,22,mm
MS_Canon_Liturg_353_binding_1,manuscript_3036,MS_Canon_Liturg_353,MS. Canon. Liturg. 353,Canon Liturg,"15th century, , ? (as MS., 1462, Brescia, ? corrected at Venice): wood boards; light brown leather, blind-tooled with multiple lines, stamps and strapwork; spine original, cross-hatched with blind triple lines and a small flower stamp; traces of four strap-and-pin clasps running from grooves at front-cover edges to pins at back, all lost; edges plain. Gilt red-leather spine-label and lettering added, 18th century, Italian; spine, corners and covers clumsily repaired in similar leather, 18th century (Italian) or 19th century (Bodleian). (book closed).ItalianVenice 302–5210–14c. 102–6",,,,1500,1400,302–5,305,302,210–14,214,210,c. 102–6,106,102,mm
MS_Canon_Liturg_354_binding_1,manuscript_3037,MS_Canon_Liturg_354,MS. Canon. Liturg. 354,Canon Liturg,"A standard Canonici style of blind-tooled diced brown leather over pasteboards; 18th century, Italian.",,,,1800,1700,,,,,,,,,,
MS_Canon_Liturg_356_binding_1,manuscript_3039,MS_Canon_Liturg_356,MS. Canon. Liturg. 356,Canon Liturg,"Soranzo’s binding: parchment over pasteboard; small stiff flaps on the fore-edges of covers. ‘356’ written in black ink on spine. Brown leather label on spine, framed with gilt arabesque designs, with gilt lettering ‘KALEND. PSALT. || ET || HYMNARIUM || COD . MEMB.’. Fragment of Soranzo’s label on spine with ‘116[4]’ (i.e. number 1164 in folio in Soranzo’s catalogue (Mitchell, 1969)). Pastedowns and fly-leaves of stiff paper with burgundy, purple and yellow floral designs (carta bassanese). Further flyleaves made of 18th-century laid paper; no watermarks. Markings left by two clasps of an earlier binding on fols. 1–6.",,,,1750,1700,,,,,,,,,,
MS_Canon_Liturg_36_binding_1,manuscript_3042,MS_Canon_Liturg_36,MS. Canon. Liturg. 36,Canon Liturg,"16th century or 17th century, ?: pasteboards; dark brown leather, very worn, decorated with blind lines, gilt lines and corner-pieces; gilt centrepiece on back cover with a crowned monogram ‘MRA’ (? for Maria, B. V. M.) surrounded by fleurs-de-lis, front cover probably similar but worn away; spine tooled with gilt lines and one small circular tool; traces of two lost fore-edge clasps or pairs of ties; edges gilt, partly gauffered, the illuminated borders severely trimmed. (book closed).Italian 10570–74c. 22",,,,1700,1500,105,105,105,70–74,74,70,22,22,22,mm
MS_Canon_Liturg_37_binding_1,manuscript_3052,MS_Canon_Liturg_37,MS. Canon. Liturg. 37,Canon Liturg,"16th century, early, (as MS.), sewn on two double bands and strongly bound for partly processional use: wood boards; polished pigskin, blind-tooled with double or triple lines and stamps in an all-over pattern, differing on each cover; remains of central clasp with lost strap of light brown leather running from back fore-edge to a front catch-plate embossed with a pattern which roughly matches the adjacent stamp; four metal corner-pieces and a centrepiece on each cover, each with several boss-like protrusions; glue-marks on front paste-down from a lost item (? an image) formerly pasted there; cf. the traces of glue on fol. 70v. ( (book closed). A piece of waste MS. is used for the front pastedown, with a stub after fol. 8. The spine has a paper label printed ‘Canonici Liturg.’ and the head of the spine is numbered ‘37’ in white paint. (Description based on Barker-Benfield: see bibliography.)German 115c. 93c. 35–36",,,,1600,1500,115,115,115,93,93,93,c. 35–36,36,35,mm
MS_Canon_Liturg_370_binding_1,manuscript_3053,MS_Canon_Liturg_370,MS. Canon. Liturg. 370,Canon Liturg,"Light brown leather over pasteboard, Italian, 18th century. Border made of two rows of blind roll floral decoration, framed by double blind fillet lines, round the outer edge of both covers. Four raised bands on spine framed by gilt fillet lines. Brown leather label with a gilt arabesque border on spine, with gilt lettering: ‘PSALT. || ET HIMN. || AD USUM || ECCL. PATAV || COD. MEMB’. Pastedowns made of marbled paper; fly-leaves of 18th-century laid paper with a watermark ‘A Z’. ‘370’ written in black ink on the edge of the textblock.",,,,1800,1700,,,,,,,,,,
MS_Canon_Liturg_371_binding_1,manuscript_3054,MS_Canon_Liturg_371,MS. Canon. Liturg. 371,Canon Liturg,"16th century or 17th century, : wood boards, narrow inside bevel; red velvet, plain except for double parallel lines of sewn thread near fore-edge, with bolt-edging of yellow fabric visible at turn-ins; traces of two strap-and-pin fastenings with lost red fabric straps running from grooves in front boards to pins over halfway across back; spine nearly lost; four large brass corner-pieces and a centrepiece, all with boss-like domes, scalloped edges and embossed interlace decoration, surviving on each cover; edges gilt, gauffered. (book closed).Italian 345242–245c. 93Rust-holes at fol. 265 indicate two fore-edge clasps of a previous binding, from which the surviving metalwork could have been carried over.",,,,1700,1500,345,345,345,242–245,245,242,93,93,93,mm
MS_Canon_Liturg_377_binding_1,manuscript_3059,MS_Canon_Liturg_377,MS. Canon. Liturg. 377,Canon Liturg,"Brown leather over wood boards; one of the standard Canonici styles, Italian, 18th century. Blind roll floral border, outlined by blind fillet lines round the outer edge of both covers. Rectangular frame, containing a diamond-shaped figure, both formed by blind roll floral designs on both covers. Floral decorations on the sides and in the corners of the frame and inside the diamond-shaped figure. The designs used are identical with those on MS. Add. D. 47. Five raised bands on spine. Panels between the bands are framed with gilt fillet lines. Brown leather label on spine, framed by gilt fillet lines and gilt arabesque designs, with gilt lettering ‘PSALTERIV. || DAUIDI- || CUM || COD. MEM.’. ‘377’ written in white paint on spine. Pastedowns and fly-leaves made of laid paper, no watermarks.",,,,1800,1700,,,,,,,,,,
MS_Canon_Liturg_378_binding_1,manuscript_3060,MS_Canon_Liturg_378,MS. Canon. Liturg. 378,Canon Liturg,"16th century, late, or 17th century, , not the first binding as illuminations and a 16th-century table (fol. 221r) are trimmed: wood boards, rounded outside bevel; brown leather, blind-tooled with multiple lines and with indistinct small centrepieces of a Virgin and Child on crescent moon, in an upright oval within floral tooling; spine lost; traces of two fore-edge clasps with broad straps (lost), perhaps of brown leather on a whiter core, and of 4+1 lost bosses with scalloped edges on each cover, the central bosses once obscuring the centrepieces; edges plain. Perhaps modified later, before reback dated 1958, Bodleian. (book closed).Italian 345–347233–236c. 83–85",,,,1600,1575,345–347,347,345,233–236,236,233,c. 83–85,85,83,mm
MS_Canon_Liturg_379_binding_1,manuscript_3061,MS_Canon_Liturg_379,MS. Canon. Liturg. 379,Canon Liturg,"18th century, after 1722, , either an archaizing binding all of that date, or a major resewing and rebind incorporating elements from an earlier binding; each of the two parts (from the church of ) had lost leaves at its end before this binding’s resewing. Wood boards, outside edges rounded; brown leather, blind-tooled with multiple lines and a thin roll to form an empty central panel; spine plain except for quadruple lines around the five cords, no label; no clear signs of clasps; traces of 4+1 large circular bosses on each cover, all lost; endleaf watermarks dated 1722; edges stained yellow. (book closed).ItalianS. Miniato fra le Torri, Florence 367–368234–237c. 63",,,,1800,1722,367–368,368,367,234–237,237,234,63,63,63,mm
MS_Canon_Liturg_382_binding_1,manuscript_3063,MS_Canon_Liturg_382,MS. Canon. Liturg. 382,Canon Liturg,"A composite binding of older boards, reused:Medieval or later, : wood boards, with two broad slots for missing clasp-straps at upper board’s fore-edge; edges gilt, gauffered, before the resewing.Italian",,,,1700,1350,357–360,360,357,257–259,259,257,c. 85–90,90,85,mm
MS_Canon_Liturg_382_binding_2,manuscript_3063,MS_Canon_Liturg_382,MS. Canon. Liturg. 382,Canon Liturg,"(rebinding) 18th century, , , Canonici era: boards reused; red leather obscuring the slots, decorated with a thin gilt roll round the edges, otherwise plain; spine with gilt lines and a gilt green-leather label; no clasps in this configuration; marbled paste-downs. (book closed).ItalianVenice 357–360257–259c. 85–90",,,,1800,1700,357–360,360,357,257–259,259,257,c. 85–90,90,85,mm
MS_Canon_Liturg_383_binding_1,manuscript_3064,MS_Canon_Liturg_383,MS. Canon. Liturg. 383,Canon Liturg,"16th century or 17th century?, : wood boards; red velvet, worn, and plain after loss of all metalwork; traces of four broad straps, of four large filigree corner-pieces and of an oval centrepiece (? armorial) over the velvet on each cover; edges gilt, gauffered, somewhat uneven (? after resewing); velvet spine lost. Rebacked in red leather, later 19th century (‘recent’ in 1897), Bodleian. (book closed).Italian 365–366255–258c. 100–105",,,,1700,1500,365–366,366,365,255–258,258,255,c. 100–105,105,100,mm
MS_Canon_Liturg_388_binding_1,manuscript_3069,MS_Canon_Liturg_388,MS. Canon. Liturg. 388,Canon Liturg,"16th century, first half, , bound perhaps for the Armellini family [of Venice?] (fol. ir): wood boards, inside bevel. Polished red leather, decorated on each cover with blind lines and an all-over gilt design: a solid frame with corner-pieces, around a lozenge shape made up of single curved lines (oriental style?) and a centrepiece of two interlocking squares. Inside bevels finished with multiple blind lines; spine lost; traces of four lost clasps with leather straps; edges gilt, gauffered. Reback in brown leather, with gilt lines, small stamps, and gilt red-leather label, 18th century, ; second reback in red leather, 20th century, Bodleian. (book closed).ItalianItalian 405–7268–272c. 117–18",,,,1550,1500,16 405–7,16 407,16 405,11.5 268–272,11.5 272,11.5 268,c. 117–18,118,117,in mm
MS_Canon_Liturg_389_binding_3,manuscript_3070,MS_Canon_Liturg_389,MS. Canon. Liturg. 389,Canon Liturg,"(Restoration) 20th century, 1919, Bodleian: ‘The coloured sheets now inserted as fly-leaves were pasted over the original leather binding. They were taken off on April 16, 1919. | R.H.H[ill] | 17.IV.19.’ (added slip at front). Rebacked then or more likely in 1948, preserving 18th-century title-label.",,,,,,403–405,405,403,294–295,295,294,c. 100–104,104,100,mm
MS_Canon_Liturg_389_binding_4,manuscript_3070,MS_Canon_Liturg_389,MS. Canon. Liturg. 389,Canon Liturg,"(Further repairs) 20th century, 1948, Bodleian: signed at lower inside edge of back board ‘L.F[ifield]. 20.4.’48’. (book closed). 403–405294–295c. 100–104",,,,,,403–405,405,403,294–295,295,294,c. 100–104,104,100,mm
MS_Canon_Liturg_389_binding_1,manuscript_3070,MS_Canon_Liturg_389,MS. Canon. Liturg. 389,Canon Liturg,"An early binding, covered over in the 18th century but disinterred in 1919 and further repaired in 1948:15th century, later, or early 16th century, : wood boards, inside bevel; sewn on seven double cords of tawed leather; dark brown leather, blind-tooled with multiple lines, stamps and strapwork to form on each cover a panel with a central strapwork cross on a base; spine lost; traces of four clasps with broad straps, all lost; edges gilt, gauffered.Italian",,,,1525,1475,403–405,405,403,294–295,295,294,c. 100–104,104,100,mm
MS_Canon_Liturg_389_binding_2,manuscript_3070,MS_Canon_Liturg_389,MS. Canon. Liturg. 389,Canon Liturg,"(Temporary rebinding) 18th century, : probably a half-leather binding (any new leather since lost), with sides of red paper with a combed pattern (cf. MS. Canon. Gr. 54), overlaying the old leather.Italian",,,,1800,1700,403–405,405,403,294–295,295,294,c. 100–104,104,100,mm
