metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: partID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
_addition_15,manuscript_1,,,,manuscript,,MS-II-00001-00033,"'Notes by J.M. Kemble' (f. i recto): annotation by . Charles Sayle (1864-1924)Sayle, Charles, 1864-1924",,,,,,,,,,,,"Charles Sayle (1864-1924); Sayle, Charles, 1864-1924",,,,,
_addition_15,manuscript_1,,,"Cambridge, Trinity College, MS R.14.31",part,,,"Folio 248r-248v has a large defect in the original parchment leaf that has been repaired (probably in the medieval period) with a patch made from another medieval parchment text leaf. The repair-patch only has text visible on the portion of the patch visible on f. 248v and seems to contain fragments of chants for the divine office, e.g., 'Antra deserti teneris sub annis, civium turmis' written in a late 12th or early 13th century hand.",248r-248v; 248v,248r 248v,248v 248v,,,,,,,,,,,,,,
_addition_16,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,"Several rubrics added to the manuscript by a later, perhaps 16th-century hand, writing in imitation of the insular minuscule used in the text (for example, ff. 9v, 175r, 180v). The same hand also made a correction to f. 37r.",,,,,,,,,,,,,,,,,
_addition_16,manuscript_1,,,"Cambridge, University Library, MS Gg.4.27(1)",part,,,"Folio 2r: note concerning the position of leaves now bound separately as , by 'J.M.K.' - i.e. MS Gg.4.27(2): 'Note: After p. 482John Mitchell Kemble (1807-1857)Kemble, John M. (John Mitchell), 1807-1857b of this volume are inserted fourteen folios on parchment, containing a fine copy of the fragment of Floriz and Blaunchefleur, a copy of King Horn and a poem on the assumption of our Lady. To the best of my knowledge these have never been noticed. J.M.K.'",2r,(2r,(2r,,,,,,,,,"John Mitchell Kemble (1807-1857); Kemble, John M. (John Mitchell), 1807-1857",,MS Gg.4.27(2),,MS Gg.4.27(2),https://cudl.lib.cam.ac.uk/view/MS-GG-00004-00027-00002/1
_addition_16,manuscript_1,,,"Cambridge, University Library, MS Hh.6.13",part,,,A note in English in the lower margin of f. 19v in a late 16th- or early 17th-century hand relating to the text's description of the sacrament of the Eucharist: Ye maie reioyce to receyve this sacrament as a man reioceth when he hath gotten his princes seale.,19v,19v,19v,,,,,,,,,,,,,,
_addition_16,manuscript_1,,,"Cambridge, Corpus Christi College, MS 41",part,,,The name ælfƿine in dark brown ink in an 11th-century hand (p. 155).,155,155.0,155.0,,,,,,,,,,,,,,
_addition_16,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.4",part,,,The words 'de quatuor que inpediunt confessionem' in ink in a late 12th or early 13th century hand in the upper margin of f. 238v.,238v,238v,238v,,,,,,,,,,,,,,
_addition_16,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.2",part,,,"On f. 2r, three lists of the contents of the volume from perhaps, the late 12th/early 13th century, the late 15th/early 16th century and the 17th century, the lists are as follows: List 1 - 'Liber Sancti Cuthberti de Dunelm . Ex dono magistri Herberti medici . Diascorides . Liber de natura lapidum . Excepciones de libro pauli . Dicta quedam petri petri alfunsi . Quedam per prisciani de accentibus . Pars libri aurelii ambrosii' List 2 - 'Contenta: diascorides per modum alphabeti de uirtutibus herbarum et compositione olerum . item lapidarus quidam liber de natura lapidum per modum alphabeti . priscianus de accentibus . Item notabilia quedam in libro primo . 2a 7i ffe' List 3 - 'Content: 1. Excerpt de libro Pauli de cura egritudinum per tocius corporis 2. Anonymi Fragmentum ... 3. Priscian : de accentibus 4. Diascorides , de uirtut Herbarum &- composicione Olerum alphabetice 5. de Natura Lapidum Pollice & alphabetice'.",2r,2r,2r,,,,,,,,,,,,,,
_addition_16,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110",part,,,Page 50: The name 'Thomas Bank' or 'Thomas Banke' in a late 15th or early 16th century hand.,50,50.0,50.0,,,,,,,,,,,,,,
_addition_17,manuscript_1,,,,manuscript,,MS-II-00001-00033,"Numerical content markers ('§1', '§2', etc), written in pencil by a 19th-century hand, corresponding with item numbers given in the Catalogue (1855).",,,,,,,,,,,,,,,,,
_addition_18,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,"Fabric static page-marker added to f. 156, probably while the manuscript was in Matthew Parker's hands: similar markers were added to other books in his possession (see, for example, ).Cambridge, University Library, MS Ff.1.23",,,,,,,,,,,,,,"Cambridge, University Library, MS Ff.1.23",,"Cambridge, University Library, MS Ff.1.23",https://cudl.lib.cam.ac.uk/view/MS-FF-00001-00023/1
_addition_18,manuscript_1,,,"Cambridge, Corpus Christi College, MS 41",part,,,"The name ælfƿerd in brown ink in an 11th-century hand (p. 242, outer margin).",242,242.0,242.0,,,,,,,,,,,,,,
_addition_18,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.4",part,,,The words 'mulier amicta sole' in ink in a late 12th or early 13th century hand the upper margin of f. 260r.,260r,260r,260r,,,,,,,,,,,,,,
_addition_18,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.2",part,,,"On f. 2r a note in ink in an early modern humanist hand 'tempus doloris medicus', this hand added a similar note to f. 5r.",2r; 5r,2r 5r,2r 5r,,,,,,,,,,,,,,
_addition_19,manuscript_1,,,,manuscript,,MS-II-00001-00033,"Marginal annotations in pencil by , University Librarian 1867-1886, providing a cross-reference to another manuscript and note of missing leaves (f. Henry Bradshaw (1831-1886)Bradshaw, Henry, 1831-188652v)",52v,52v,52v,,,,,,,,,"Henry Bradshaw (1831-1886); Bradshaw, Henry, 1831-1886",,,,,
_addition_19,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110",part,,,Page 142: the name 'Jhon Skyl' in ink in a very loose medieval cursive hand.,142,142.0,142.0,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-LL-00005-00018,"Corrections: There are very few corrections in this manuscript. The few cases of correction seem to occur in the same hand and ink immediately following the error. For example, on f. 2v the scribe simply scribbles out ‘That’ before continuing the prose and similarly does so for ‘yf’ on f. 25v.",f. 2v; f. 25v,2v 25v,2v 25v,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,part,,,"A sixteenth-century Parkerian Table of Contents has been added to the beginning of the manuscript on the first flyleaf. The top of the first page bears the owner's inscription of Matthew Parker, 'Matthaus Cantuar, 1574'. A sixteenth-century copy of Gerald of Wales's Descriptio Cambriae has been added on pages 473-494 and an index to the manuscript has been added at the end of the codex on the end flyleaves from i-ix by Abraham Whelock, Librarian of the University Library from 1629-53.","473-494; i-ix by Abraham Whelock, Librarian of the University Library from 1629-53.",473 2:i(r),494 2:ix(v),,,,,,,,,Matthew Parker,,,,,
_addition_2,manuscript_1,,,MS Gg.6.42,manuscript-composite,,MS-GG-00006-00042,"Annotated in plummet with many added nota marks and corrections, some of which are later executed by the original scribes. Some of the corrections are presumably by Geoffrey BritoBrito, Geoffrey, fl. 1210s–1240s, and some of the contemporary annotations may also be from Geoffrey of MalmesburyGeoffrey, of Malmesbury, –1260. There are at least two hands adding similar nota marks: ff. 4r, 4v, 11r, 11v, 13r, 13v, 14r, 16v, 17r, 20r, 20v, 21r, 21v, 28r, 29v, 30r, 31r, 35r, 37v, 41v, 43r, 50r, 51r, 61v, 62v, 63r, 64r, 64v, 65r, 67v, 69r, 72v, 73r, 73v, 76v, 77r, 77v, 78r, 79r, 85r, 85v, 86r, 87v, 88r, 89r, 90r, 92r, 93r, 93v, 95r, 96r, 96v, 97v, 99v, 101v, 102v, 103v, 104r, 105v, 107r, 112r, 112v, 114v, 116v, 117v, 123v, 126r, 128r, 128v, 129r, 130v, 131v, 134r, 136r, 140v, 141r, 142r, 143r, 143v, 144r, 145v, 146v, 148r, 148v, 149r, 150v, 151r, 154r, 157r, 157v, 158r, 159r, 162r, 163v, 165v, 169r, 169v, 170r, 171v, 172r, 174r, 175r, 175v, 176v, 178r, 178v, 180r, 197v, 183r, 183v, 184r, 184v, 185r, 185v, 187r, 189r, 198v, 190r, 190v, 191r, 192r, 192v, 193r, 193v, 194r, 195r, 195v, 197v, 198r, 199v, 200r, 201r, 201v, 202r, 202v, 203r, 206v, 207v, 208v, 208v, 209r, 209v, 210v, 211r, 215r, 217v, 218r, 218v, 219r, 219v, 220v, 221r, 229v, 233r, 234r, 235r, 236r.",4r; 4v; 11r; 11v; 13r; 13v; 14r; 16v; 17r; 20r; 20v; 21r; 21v; 28r; 29v; 30r; 31r; 35r; 37v; 41v; 43r; 50r; 51r; 61v; 62v; 63r; 64r; 64v; 65r; 67v; 69r; 72v; 73r; 73v; 76v; 77r; 77v; 78r; 79r; 85r; 85v; 86r; 87v; 88r; 89r; 90r; 92r; 93r; 93v; 95r; 96r; 96v; 97v; 99v; 101v; 102v; 103v; 104r; 105v; 107r; 112r; 112v; 114v; 116v; 117v; 123v; 126r; 128r; 128v; 129r; 130v; 131v; 134r; 136r; 140v; 141r; 142r; 143r; 143v; 144r; 145v; 146v; 148r; 148v; 149r; 150v; 151r; 154r; 157r; 157v; 158r; 159r; 162r; 163v; 165v; 169r; 169v; 170r; 171v; 172r; 174r; 175r; 175v; 176v; 178r; 178v; 180r; 197v; 183r; 183v; 184r; 184v; 185r; 185v; 187r; 189r; 198v; 190r; 190v; 191r; 192r; 192v; 193r; 193v; 194r; 195r; 195v; 197v; 198r; 199v; 200r; 201r; 201v; 202r; 202v; 203r; 206v; 207v; 208v; 208v; 209r; 209v; 210v; 211r; 215r; 217v; 218r; 218v; 219r; 219v; 220v; 221r; 229v; 233r; 234r; 235r; 236r,4r 4v 11r 11v 13r 13v 14r 16v 17r 20r 20v 21r 21v 28r 29v 30r 31r 35r 37v 41v 43r 50r 51r 61v 62v 63r 64r 64v 65r 67v 69r 72v 73r 73v 76v 77r 77v 78r 79r 85r 85v 86r 87v 88r 89r 90r 92r 93r 93v 95r 96r 96v 97v 99v 101v 102v 103v 104r 105v 107r 112r 112v 114v 116v 117v 123v 126r 128r 128v 129r 130v 131v 134r 136r 140v 141r 142r 143r 143v 144r 145v 146v 148r 148v 149r 150v 151r 154r 157r 157v 158r 159r 162r 163v 165v 169r 169v 170r 171v 172r 174r 175r 175v 176v 178r 178v 180r 197v 183r 183v 184r 184v 185r 185v 187r 189r 198v 190r 190v 191r 192r 192v 193r 193v 194r 195r 195v 197v 198r 199v 200r 201r 201v 202r 202v 203r 206v 207v 208v 208v 209r 209v 210v 211r 215r 217v 218r 218v 219r 219v 220v 221r 229v 233r 234r 235r 236r,4r 4v 11r 11v 13r 13v 14r 16v 17r 20r 20v 21r 21v 28r 29v 30r 31r 35r 37v 41v 43r 50r 51r 61v 62v 63r 64r 64v 65r 67v 69r 72v 73r 73v 76v 77r 77v 78r 79r 85r 85v 86r 87v 88r 89r 90r 92r 93r 93v 95r 96r 96v 97v 99v 101v 102v 103v 104r 105v 107r 112r 112v 114v 116v 117v 123v 126r 128r 128v 129r 130v 131v 134r 136r 140v 141r 142r 143r 143v 144r 145v 146v 148r 148v 149r 150v 151r 154r 157r 157v 158r 159r 162r 163v 165v 169r 169v 170r 171v 172r 174r 175r 175v 176v 178r 178v 180r 197v 183r 183v 184r 184v 185r 185v 187r 189r 198v 190r 190v 191r 192r 192v 193r 193v 194r 195r 195v 197v 198r 199v 200r 201r 201v 202r 202v 203r 206v 207v 208v 208v 209r 209v 210v 211r 215r 217v 218r 218v 219r 219v 220v 221r 229v 233r 234r 235r 236r,,,,,,,,,"Geoffrey Brito; Brito, Geoffrey, fl. 1210s–1240s; Geoffrey of Malmesbury; Geoffrey, of Malmesbury, –1260",,,,,
_addition_2,manuscript_1,,,"Cambridge, University Library, MS Ff.6.53",manuscript,,MS-FF-00006-00053,Marginal annotations to the manuscript in 15th-century script throughout ff. 1r-188v.,1r-188v,1r,188v,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, University Library, MS Add. 3120",part,,,"The number 27 is written on a loose paper slip inserted in the gutter between f. 91 and 92, perhaps representing an auction number.",91; 92,91 92,91 92,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-000GG-00004-00031,"The final hand, in a sixteenth-century italic, comments on passages dealing with immorality by clerics, see folio 42v or 72v.",42v; 72v,42v 72v,42v 72v,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, University Library, MS Ee.5.22",manuscript,,MS-EE-00005-00022,On folio 378v: a name 'Tailefere' in ink.,378v,378v,378v,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, University Library, MS Dd.8.19",manuscript-composite,,MS-DD-00008-00019,"Collation formula written on the rear pastedown by H.L. PinkPink, H. L..",,,,,,,,,,,,"H.L. Pink; Pink, H. L.",,,,,
_addition_2,manuscript_1,,,"Cambridge, University Library, MS Ii.6.39",manuscript-composite,,MS-II-00006-00039,"Quire signatures (in the form of lower-case letters) written in pencil in the lower right-hand corner on the recto side of the first leaf of each quire, perhaps by H.L. PinkPink, H. L..",,,,,,,,,,,,"H.L. Pink; Pink, H. L.",,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-FF-00004-00042,"There are copious annotations in the manuscript in an early seventeenth-century hand, for example, several lines, including the name Mr Price, at the foot of fol. 1v and the list of names at the foot of fol. 4r. Oates (1982) identified this as the hand of an early modern owner, Richard Amadas.",1v; 4r,1v 4r,1v 4r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,MS Gg.5.35,manuscript,,MS-GG-00005-000035,"Folio iii verso: Table of contents, written around the 12th century and later annotated in the second half of the 15th century by Clement CanterburyClement Canterbury, who added folio numbers and additional descriptions. This leaf also contains an ownership inscription and pressmark for the library of St Augustine's, Canterbury (see Provenance), written by other hands.",iii verso,iii verso,iii verso,,,,,,,,,Clement Canterbury; Clement Canterbury,,,,,
_addition_2,manuscript_1,,,"Cambridge, University Library, MS Dd.5.53",manuscript-composite,,MS-DD-00005-00053,University Library note inscribed on f. [vi] recto: Dd.5.54 taken out and bound separately / 1901 July 27 / F.J. (i.e. Francis Jenkinson).,,,,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, University Library, MS Dd.15.15",manuscript-composite,,MS-DD-00015-00015,Table of contents added by a 15th-century hand (rear pastedown).,rear pastedown,"right cover, inner","right cover, inner",,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-DD-00005-00078-003,The shelfmark Dd-5-78-3 has been added in ink vertically in the left hand margin of the opening leaf in an eighteenth-century hand.,opening leaf,1r,1r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Trinity College, MS O.8.2",part,,,The outer margins of ff i recto and 1r contain an index to the manuscript in a 17th-century hand.,i recto; 1r,i recto 1r,i recto 1r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Trinity College, MS R.14.39",part,,,Dried plant material (a straw) is located in the gutter between ff. 2:114 and 2:115.,,,,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,MS 8,part,,,Marginal and interlinear Latin glosses.,,,,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-DD-00002-00011,"On the recto of the flyleaf at the end of the manuscript (fol. 102r), is an aphorism in three parts in Holmes' hand. Marke this lesson Serue God euer Credit not all that thow hearest Say not all that thow thinkest Desire not all that thow seest Spend not all that thow hast Doe not all that thow maist But of all thinges take heed of the beginninge See the middle and praise the endinge Doo that which is good, say that is true Cherish old frendes, chaung for no new.",102r,102r,102r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-ADD-08844,Another hand has added a note identifying the author of the galliard on fol. 8r: Mr Knowles ex.,8r,8r,8r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-UA-COLLECT-ADMIN-00004,"15 leaves of modern blue paper, ff.ii-xvi, are bound into the front of the volume. They contain an index by Joseph Romilly, 1858.",ff.ii-xvi,ii(v),xvi(r),,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-ADD-03389,A pencil note on the first paper flyleaf (fol. ar) reads: From binding of volume containing Aug. Dathus (Hain 5979) &c.,ar,a_R,a_R,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-ADD-03389,The new shelfmark (Doc. 38) which the document received in 1913 is written in ink on the verso.,verso,1r,1r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,MS-DD-00009-00033,The shelfmark Dd-9-33 has been added in ink at the top of the opening leaf in an eighteenth-century hand.,opening leaf,1r,1r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Jesus College, MS Q.B.10",manuscript,,MS-JESUS-Q-B-00010,"A note, perhaps in the hand of former owner on f. Andrew Doket Andrew Doket (d. 1484)4v: '... pro maiore parte ea que non subiacent uisui non cognoscebant 987'.",4v,4v,4v,,,,,,,,,Andrew Doket; Andrew Doket (d. 1484),,,,,
_addition_2,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.1",part,,,"In the lower margin of f. 44r is a rubbing of the reverse of a shilling (measuring about 23mm in diameter) from the reign of Charles II (r. 1660-1685), featuring the garter star in centre with crowned cruciform shields of royal arms with interlinked double C cypher in the angles. The coin may have been a so-called touch piece, which may explain why a rubbing of it was added to a medical manuscript.",44r,44r,44r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Magdalene College, Pepys MS 878",manuscript,,MS-MAGDALENE-PEPYS-00878,"Note of the manuscript's contents and a table of contents by of Daniel Waterland (1683-1740), Master of Magdalene College, on on p. iii recto.",iii recto,iii recto,iii recto,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Queens' College, MS 25",manuscript,,,"Marginal notes in a fifteenth-century hand (e.g. 27v); manicules; occasional marginal doodles (e.g. 14v, 33r).",27v; 14v; 33r,27v 14v 33r,27v 14v 33r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,,manuscript,,,"Two tables of contents have been added on f. ir, one for this volume and one for its companion, presumably Peterhouse MS 119 part IV.",f. ir,ir,ir,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Peterhouse, MS 87",manuscript,,MS-PETERHOUSE-00087,Note of the manuscript's contents in pencil on the left_cover_inner by a (?) 19th-century hand.,left_cover_inner,left_cover_inner,left_cover_inner,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Clare College, MS 12 ",part,,,"A former Clare College shelfmark Kk-4-8 Aul: Clare in the outer margin of f. 1r in ink, in a late 17th century hand.",1r,1r,1r,,,,,,,,,,,,,,
_addition_2,manuscript_1,,,"Cambridge, Newnham College, MS 4",manuscript,,MS-NEWNHAM-00004,On the lower half of f. [i] recto is a note written in the hand of Henry Yates Thompson on observations on this manuscript's copy of Piers Plowman made by Walter William Skeat.,[i] recto,[i] recto,[i] recto,,,,,,,,,,,,,,
_addition_20,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,"Two leaves (four printed pages; the reverse is blank) from Matthew Parker's Testimonie of antiquitie (1566?) have been added between ff. 156 and 157, together with marginal annotations referring to them on f. 156v.",,,,,,,,,,,,,,,,,
_addition_20,manuscript_1,,,"Cambridge, Corpus Christi College, MS 41",part,,,Modern quire numbering in pencil in the lower outer corner of the first recto of each quire in a 20th-century hand.,,,,,,,,,,,,,,,,,
_addition_20,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.2",part,,,"In the upper margin of f. 3r, a Durham title and pressmark: 'Diascorides . Liber de natura lapidum O.2a 7i ffe'. This shelfmark is a close match for the one on f. 2r at the bottom of the second list of contents in the volume.",3r; 2r,3r 2r,3r 2r,,,,,,,,,,,,,,
_addition_21,manuscript_1,,,,manuscript,,MS-II-00001-00033,"Collation formula written on the rear pastedown by .H.L. PinkPink, H. L.",,,,,,,,,,,,"H.L. Pink; Pink, H. L.",,,,,
_addition_21,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110",part,,,Page 142: a note in Latin 'pasca nostrum immolatus est Cristus' in ink.,142,142.0,142.0,,,,,,,,,,,,,,
_addition_22,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,"Opening of homilies accompanied by numbers written in pencil in the margins - e.g. §1 (f. 9v), §2 (f. 18v), etc - corresponding with the itemisation of the manuscript's contents in the Catalogue of manuscripts preserved the Library of the University of Cambridge, vol. 3 (1858).",,,,,,,,,,,,,,,,,
_addition_22,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.2",part,,,"On f. 5r a note in ink in a humanist hand 'contra uim mortis non est medicamen in hortis' and then a little offset from the main note, 'cupiunt' in ink in the same hand and two roughly drawn five-line music staves with four notes added to each.",5r,5r,5r,,,,,,,,,,,,,,
_addition_23,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110",part,,,"Page 142: five-line music stave with notes drawn in a 'u' shape, no clear melodic pattern discernable",142,142.0,142.0,,,,,,,,,,,,,,
_addition_24,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,Quire numbers added in pencil by a modern hand to the recto of the first leaf of each quire.,,,,,,,,,,,,,,,,,
_addition_25,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.2",part,,,"Marginal additions to the Dioscorides text in hands from the 12th-17th centuries, typically glossing plant names or adding further recipes or comments.",,,,,,,,,,,,,,,,,
_addition_25,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110",part,,,Page 158: note in ink - 'nouerint Vniuersi per presentes me Wyllhelmum Soustons',158,158.0,158.0,,,,,,,,,,,,,,
_addition_26,manuscript_1,,,"Cambridge, University Library, MS Ii.4.6",part,,,"The word 'beginning' written by a 19th/20th-century hand onto f. [21b] verso, the second of two paper stubs added in the place of two excised leaves after f. 21, in order to secure the binding of ff. 16-17, the two remaining conjoint leaves.",,,,,,,,,,,,,,,,,
_addition_27,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.2",part,,,"Post-medieval paper slip, f. [45a] fixed along its upper edge to the upper margin of f. 45v with an adhesive. The slip bears a note in Middle English on f. [45a] verso about a plant the author calls 'botrachium or batrachium', which probably refers to the plant now known as water crowfoot or (Ranunculus subgenus Batrachium). A section of text about the medicinal properties of the plant 'Botracion' begins on f. 45v at the red decorative initial 'B', and so it seems that this note was added to preserve further information about the plant. The slip is written in the same hand that added. f. [60a] to the volume and is on similar paper.",45v; [45a] verso; 45v,45v [45a] verso 45v,45v [45a] verso 45v,,,,,,,,,,,,,,
_addition_27,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110",part,,,Page 163: note in ink in a ?16th century hand - 'John King est uerus possessor huius libri',163,163.0,163.0,,,,,,,,,,,,,,
_addition_29,manuscript_1,,,"Cambridge, Jesus College, MS Q.D.2",part,,,"Post-medieval paper slip, f. [60a] fixed in the gutter between ff. 60v and 61r. The slip bears a note in Middle English on f. [60a] verso about a medical ingredient 'cinnabaris a stone called a sanguinari it is called dragons blood'; the author is almost certainly referring to the mineral cinnabar (mercury(II) sulfide (HgS)). A section of text about the medicinal properties of cinnabar begins on f. 61r at the green decorative initial 'C', and so it seems that the note was added to preserve further information about this mineral. The slip is written in the same hand that added. f. [45a] to the volume and is on similar paper.",60v; 61r; [60a] verso; 61r,60v 61r [60a] verso 61r,60v 61r [60a] verso 61r,,,,,,,,,,,,,,
_addition_29,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110",part,,,Page 172: the names 'Jhon Skyll' and 'Francis Salparwyk' in ink,172,172.0,172.0,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,"Cambridge, Emmanuel College, MS 70",manuscript,,MS-EMMANUEL-COLLEGE-00070,Notes towards a list of the contents of the volume on ff. [i] verso-1r in the humanist hand which added titles and marginal annotations throughout the volume.,[i] verso-1r,[i] verso,1r,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,"Cambridge, Emmanuel College, MS 66",manuscript-composite,,MS-EMMANUEL-COLLEGE-00066,The name 'William James' in ink on f. [vi] recto by a 17th-century hand.,[vi] recto,[vi] recto,[vi] recto,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,,manuscript,,MS-II-00006-00031,"Numerous marginal annotations and glosses by (see Provenance for further details) (see Edwards (1999), p. 270). His annotations are largely glosses of unfamiliar Middle English vocabulary: 'queynte' is glossed as 'curious'; 'onyd' as 'united'; 'nakydly' as 'purely'; 'boistiously' as 'unfaindedly'. Batman underlined passages and marked them with '*' and 'Stephen Batman Batman, Stephen, -1584O', linking them to glosses and expositions in the margins. These range from notes on content, such as 'Against imaginations of passions, that one passion hath wrought redemption' (f. 40v), to longer passages of interpretation, such as 'Not þt ther is any poure of keeping with oute a keeper: the body is kept for a tyme by the lyfe But the wisdom of the sowle is kept by God and therfore called an euerlasting wisdom, by the which the body is made companion of the soule and the sowle with God' (f. 2r). He also annotated the text with relevant biblical references, and on f. 18r corrected the rubricated passage of Latin.",40v; 2r; 18r,40v 2r 18r,40v 2r 18r,,,,,,,,,"Stephen Batman; Batman, Stephen, -1584",,,,,
_addition_3,manuscript_1,,,"Cambridge, University Library, MS Ii.5.11",manuscript,,MS-II-00005-00011,"Notes about the rebinding of the manuscript written in ink and the classmark written in pencil on the left pastedown - and a collation formula written in pencil on the right pastedown - all by the hand of . H.L. PinkPink, H. L.",left pastedown; right pastedown,inside left cover inside right cover,inside left cover inside right cover,,,,,,,,,"H.L. Pink; Pink, H. L.",,,,,
_addition_3,manuscript_1,,,,manuscript-composite,,MS-FF-00001-00025-00005,"Quire numbers added to lower right-hand corner of the first recto of each quire, and '+' sign added to the lower right-hand corner of the first recto in the second half of each quire. Written in pencil by a modern hand, probably Henry Bradshaw.",,,,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,,part,,,"On folios 61r-74r, the rubrics have been erased and written over in French.",61r-74r,61r,74r,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,"Cambridge, University Library, MS Ee.2.29",manuscript-composite,,MS-EE-00002-00029,"Folio 2v contains a note on the four types of vanity extracted from Gregory the Great's Moralia in Job added by a late 15th- or early 16th-century hand, beginning: Quatuor sunt species superbie quas assignat Gregorius h.; and ending:32 [...] Prima est cum homo a seipso estimat habere bonum quod habet Quarta quando despectis singulariter vult videri.",2v,2v,2v,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,,part,,,"Old English interlinear glosses on ff. 2:43r-2:44v, 10th-century. Another hand probably of the later 10th century has added Old English glosses to f. 2:57r.",2:43r-2:44v; 2:57r,2:43r 2:57r,2:44v 2:57r,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,,part,,,"Marginal annotations by a number of medieval hands, including corrections to the text, written in ink and leadpoint (esp. in the lower margin).",,,,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,"Cambridge, University Library, MS Add. 9308",manuscript-composite,,MS-ADD-09308,"A piece of paper pasted inside the front cover: 'Written in the reign of Henry VI that is, at the beginning of the 15th century. Compare Astle origin of Writing Tab. XXVII.14'. Upside down at the foot of this: 'This was the Lady Bechamp the Erles wife of Warwick [...] and 77 when she lived'.",,,,,,,,,,,,,,,,,
_addition_3,manuscript_1,,,"Cambridge, University Library, MS Ff.5.5",manuscript,,MS-FF-00005-00005,Collation formula written in pencil by the hand of H.L. Pink on the rear cover.,rear cover,"rear cover, inner","rear cover, inner",,,,,,,,,H.L. Pink,person_v29141885,,,,
_addition_3,manuscript_1,,,"Cambridge, University Library, MS Kk.5.13",manuscript,,MS-KK-00005-00013,"Outline sketch in plummet of a figure (not tonsured) in robes, and with right hand raised in blessing (f. 90r) and a more faint outline of a figure and an unidentifiable object (f. 86v).",90r; 86v,90r 86v,90r 86v,,,,,,,,,,,,,,
