metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit
_binding_1,manuscript_1,,,"Cambridge, Pembroke College, MS 28",Mark of a chain-staple from the medieval binding at the foot of f. i.,,,,,,1550,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Pembroke College, MS 15","Original, repaired and rebacked under the old spine by and Son in Douglas Cockerell Cockerell, Douglas 1972: tawed skin over flush, square-edged oak boards; sewn on three bands, not raised on the flat spine; tabs at each end, heavily repaired; lined with textile of uncertain colour. Marks of chain-staples at head and foot of the front cover. Formerly two straps from recesses in the front board to pins at the rear. Formerly a rectangular label near the top of the rear cover: six iron nails remain.; Folios i-ii and 101 are former pastedowns. Folios i-ii were originally pasted together and to the front board. Folio i recto has a few lines of faint writing, including one in Hebrew. On f. ii verso, titles of s. xii (Tertia Pars) and later, and a circular diagram in ink (partially obscured by the College bookplate).",,,,,1125,1150,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Fitzwilliam Museum, MS 261","Modern plain white leather binding over wooden boards; four raised bands on the spine with red sewing thread. Red speckled fore, top, and tail edges.; Binding height: 210 mm; width: 155 mm; depth: 25 mm.",,,,,1900,2000,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Fitzwilliam Museum, MS 38-1950","17th-century olive morocco binding with on both the outside covers: a border of gilt-tooled double-lined fillets, and, at the centre, a gold-stamped decorated medallion with the IHS monogram featuring, above, the Cross flanked by the sun and moon, and, below, the Sacred Heart with the Nails; gold-tooled fillets on the spine but no spine inscription; gilt-tooled edges and gauffered fore edge; two clasps with scallop shell design with catches on the lower cover.; Binding height: 175 mm; width: 125 mm; depth: 60 mm.",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Fitzwilliam Museum, MS McClean 166","Half bound in leather with sprinkled paper sides over paste- or mill-boards. Six raised bands on spine. Spine partly covered with a torn fragment of an earlier binding, a dark leather binding with the compartments decorated with gold tools. Dimensions (L x W x H): 235 x 175 x 25 mm. ; The covers contain several labels and annotations: '4' written in ink on the front coverA label fixed to the front cover with an adhesive bearing the annotation 'MS. IV.' in inkA number '324' written in white ink on the front coverTwo pieces of a torn printed label, one on each cover, the first bearing 'B. BON' and '3', the second bearing 'GNI' and '3', probably originally a larger label bearing the words 'BONCOMPAGNI' and '323' ; Paper pastedowns pasted over the turn ins. The front pastedown contains: The '166' written in pencil A blind-embossed unidentified heraldic achievement on a small oval piece of paper pasted onto the pastedown A note in pencil 'CLX.198' A note in pencil 'Ce.79' A McClean Collection bookplate ('FROM THE COLLECTION OF FRANK M CCLEAN') with engraving by J. A. C. Harrison S.C. The bookplate has two pencil annotations: 'Boncompagni Catatlogue 323'; and 'MS McCl. 166' Annotation in pencil '6/' Annotation in ink 'C.C.v.8.ti' rear pastedown contains: A note in pencil: 77 ff aug.14.08 H.A.CA note in pencil: M c MSS. 166; A paper endleaf probably contemporary with the binding present at each end of the volume. The front endleaf, f. i contains several small annotations in ink and pencil on the recto, perhaps former prices and bookseller notes. On f. i verso there is a partial list of the contents of the volume in ink in two hands: Tabula terminorum Libellus de usu quadrantis Tabulae astronomicae div argumenti Algorismus Magni Johannis de Sacro Bustofolia XXVIII in charta pergam. Ej. Ejusdem liber de sphaera foll.19. Compotus totidem33 foll.; Stored in a dark brown hard-cased box bearing a handwritten label 'McClean 166 16.3.9.23'.",,,,,,2024,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Fitzwilliam Museum, Charles Fairfax Murray MS 17","16th-century dark brown leather over (?) pasteboards, gold-tooled, with oval medallions of strapwork design on both covers; the spine with three raised bands, gold-tooled, and with gold-stamped flowers. Red-speckled fore-, head, and tail edges. ; Binding height: 155 mm; width: 110 mm; depth: 30 mm.",,,,,1500,1600,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Fitzwilliam Museum, MS McClean 89","19th-century binding. Fully bound in red leather over wood boards with bevelled edges, with similar decoration to front and rear covers. Covers are decorated with a gilded single-fillet frame inset from the perimeter of the boards by c. 15 mm. Decorative inlay work within the gilded fillet frame consisting of pieces of painted parchment arranged in a centre-and-corner style and inlaid into the leather of the cover. The inlaid parchment corners are painted with a simplified floral and foliate motif in pink, green, and blue, perhaps modelled after the floral and foliate borders found within the manuscript. The centrepiece of the front cover is a crucifix with four further points at the intercardinals painted gold, with a medalion in the centre with the nominum sacrum for Jesus, 'ihs' written in dark blue ink. The centrepiece of the rear cover is a lobed rectangle with a crucifix painted in red with a gold-painted ring piercing the arms of the cross around their central intersection. The perimeters of the centre-and-corner parchment inlays are outlined with a gilded single fillet.; Four raised bands on spine, each bisected with a gilded single fillet. Spine is decorated with gilded double-fillets across the width of the spine at the upper and lower perimeter of each compartment and a gilded fleuron in the centre of each compartment. Decorative head and tail bands wound in alternate segments of blue and yellow yarn. Burgundy ?silk bookribbon anchored in the head band. ; Gilded decorative roll around the turn ins. The remains of a former blind-panel-stamp binding (c. 1490-1550) fixed to the inner faces of the front and rear boards with an adhesive.; Large decorative metal fastening set at the centre of the fore edge of the volume; the other half of the fastening missing from the rear cover. ; Top, fore, and lower edges of the bookblock gilt and gauffered.; Folios [a] and vi are leaves contemporary with the current binding, their faces closest to the inner board (i.e., ff. [a] recto and vi verso) covered with blue watered silk to protect the remains of the earlier binding now pasted to the inner faces of the boards. The perimeters of the watered silk leaves are decorated with a gilded roll. ; Paper endleaves contemporary with the present binding as follows (ff. [a] and i at the front of the volume and v and vi at the rear of the volume): Folio [a] recto: overlaid with blue watered silk fixed to the recto with an adhesiveFolio [a] verso: the number '89' in pencil; a note '126 leaves of writing' in pencil; a Frank McClean engraved bookplate fixed to the leaf with an adhesive; the number '79' in pencilFolio i recto: blankFolio i verso: the word 'Sarum' in pencilFolio v recto: blankFolio v verso: blankFolio vi recto: collation note in pencil '3+ 134 ff Nov.9.08 H.A.C'Folio vi verso: overlaid with blue watered silk fixed to the verso with an adhesive",,,,,1800,1912,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Fitzwilliam Museum, MS 51",19th-century quarter binding with brown leather spine and corners with marbled paper sides over pasteboards. The spine with four raised bands and a gold-stamped title inscription on a red leather label: Missal Illuminated; and the fore edge incised with the monogram TP. ; Binding height: 185 mm; width: 125 mm; depth: 35 mm.,,,,,1800,1900,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Queens' College, MS 28","Original alum-tawed skin, once stained red, over roughly chamfered wooden boards; sewn on seven bands, raised across the rounded spine. Two recesses in the front board for broad straps to pins at the rear, all missing.",,,,,1400,1499,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 139","Earlier binding, presumably medieval, described in 1899 by M.R. James as 'pink skin over boards, two clasps gone: chain-mark at bottom of front cover'. Sewn on four bands, raised on the rounded spine. Remains of the stained skin may still be seen on the edges of the lifted pastedowns (f. i recto and f. 119v). The projecting, square-edged wooden boards have been reused in the present binding (see below).",,,,,1300,1550,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 106","Vellum binding over pasteboards: the vellum consists of a reused lease from Peterhouse, dated to 1750 [? according to Thomson], with the reverse turned outward; three horizontal slits on vellum on the front cover may have been used for a seal. An unidentified early modern printed text has been pasted underneath the vellum. The spine is inscribed with a title inscription in brown ink: 'Constantinus - de curatione morborum', a former (?) classmark '1-1 1', and an unread transcription with the date '1700'; it also features a paper lable with the printed number '106'.",,,,,1700,1750,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 95","18th-century binding. Undecorated parchment cover over thin pasteboards. Five raised bands on spine. Description of the contents of the volume written in ink on the spine in an 18th century hand. The number '100' (a former catalogue number for this item) in ink on the spine. Small printed paper label fixed to the spine with an adhesive bearing the shelfmark designation '95'. Parchment pastedowns; the right pastedown is the final leaf of the final quire. ; Traces of a former title in light brown ink along the upper perimeter of the left cover. Traces of a title on the tail edge of the bookblock, now too rubbed to be legible.; The left pastedown contains: A note, 'James 206' in ink - this refers to the catalogue number for this item in the Ecloga Oxonio-Cantabrigiensis by Thomas James (1600). A note, 'M. James 95' in pencil - this refers to catalogue number for this manuscript in A descriptive catalogue of the manuscripts in the library of Peterhouse (1899) by M. R. James. A note in ink in the hand of Thomas Deynman : see Provenance for further information. Thomas Deynman (fl. 1473-d. 1501), Bachelor of Medicine and Master of Peterhouse Deynman, Thomas, fl. 1473-d. 1501 A short aphorism in ink (also on ff. 105v-106r in a ?16th century hand: 'Suche is ffortune In space ys grace In grace ys goodnes",,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 118","Original (?) 16th-century binding: brown calfskin over over projecting reverse-bevel wooden boards with on each cover two blind-stamped concentric rectangular frames (triple lines) of which the central one is divided into three compartments. The space between the two frames is blind-stamped with a pattern of fleurs-de-lis alternating with flowers, crowns, and chequered shields; brass corner-pieces with decorated bosses; and the remains of two straps from the front board to clasps ast the rear (all gone). A brass frame on the front cover with a title inscription on paper under a thin sheet of horn: Liber Collegij D. Petri ex Dono Nathaniells Browne, Londinensis mense Ianuarij, Anno 1613. The spine of whittawed leather (perhaps a later addition) has been nailed to the front boards with strips of brass. It features an early modern title inscription and classmark: Amand de Villa / 1-2-3.; Red-speckled bottom, fore, and top edges.; Binding height: 300mm; width: 215mm; depth: 85mm.",,,,,1500,1600,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 247","Rebound in September 2023 by James Cassels. Tawed goat skin over quarter-sawn oak boards. Two silver pin-and-ring fore edge fastenings with tawed goatskin and vellum straps. Four raised bands on spine; double linen cords fitted to the medieval sewing stations. Head and tail bands of linen and finished with decorative sewing of alternate blue and cream segments. ; Handmade paper pastedowns pasted over the turn ins. Two parchment endleaves (unphotographed) added at each end of the volume, ff. [a]-[b] and [c]-[d] respectively, all blank. ; Medieval parchment pastedowns lifted; the newly free leaves assigned the designations ff. [ia] and [179] respectively. ; Peterhouse MS 247 is now stored in an archival box made from acid free mill board, covered with archival buckram, and lined with museum board. The box also contains an archival folder which contains the remains of the 18th century binding and a printed description by James Cassels of the conservation and rebinding work undertaken in 2023. ; Binding dimensions (L x W x D):",,,,,2023-09-01,,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 251","Rebound in September 2023 by James Cassels. Tawed goat skin over quarter-sawn oak boards. Two silver pin-and-ring fore edge fastenings with tawed goatskin and vellum straps. Four raised bands on spine; double linen cords fitted to the medieval sewing stations. Head and tail bands of linen and finished with decorative sewing of alternate blue and cream segments. ; Handmade paper pastedowns pasted over the turn ins. Two handmade paper endleaves (unphotographed) added at each end of the volume, ff. [a]-[b] and [c]-[d] respectively, all blank. ; Medieval parchment pastedowns lifted; the newly free leaves assigned the designations ff. [ia] and [163] respectively. ; Peterhouse MS 251 is now stored in an archival box made from acid free mill board, covered with archival buckram, and lined with museum board. The box also contains an archival folder which contains the remains of the 18th century binding and a printed description by James Cassels of the conservation and rebinding work undertaken in 2023. ; Binding dimensions (L x W x D): 255 x 180 x 55 mm",,,,,2023-09-01,,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 182","Vellum binding over pasteboard: the vellum consists of a reused lease from Peterhouse, datable to c. 1700-1750, of which the reverse has been turned outwards. The binding contains a 17th- or 18th-century inscription in brown ink that runs from the rear cover to the front cover: The Master and fellows of Peterhouse - Mr Thomas ?Eale: [..] for 21 years / Michael [...]. The spine is inscribed with a title inscription in black ink: 'Tract. Med. de Mag. A. de Villa nova / Mesue'; and an old classmark number: '1-8-67' [with the '6' corrected to '7']; it also features a paper pastedown with the printed classmark number '182'. There is another (now illegible) inscription in brown ink on the book's lower edge.",,,,,1650,1750,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 222","18th-century binding. Cover is a washed and reused document over thin pasteboards. Five raised bands tangible on spine, but inside the volume there are three clearly visible sewing supports, none in alignment with the tangible bands on the spine. All of the Parts of this manuscript were probably together by the late-15th century, and so the discrepancy between the visible supports inside the manuscript and the tangible supports apparent on the spine may be the result of the 18th century rebinding; for example, it is possible that during the rebinding some of the older sewing were retained and then three newer supports added and laced into the new binding. A description of some of the contents of the volume are written in ink on the spine: 'Ordo Baptizandi et Sponsalium'; a faded list of the contents of the volume is present below, but is now illegible. The shelfmark '222' present on the spine in pencil.; Folio [i], the present left pastedown is the verso of the first leaf of the first quire and contains the following inscriptions: 'James Nº 200' in ink, which refers to this item in the Ecloga Oxonio-Cantabrigiensis by Thomas James (1600) 'M R James 222' in pencil, which refers to this item in A Descriptive Catalogue of the Manuscripts in the Library of Peterhouse by M. R. James (1899) ; The right pastedown is a paper leaf bearing a purple Peterhouse library stamp.",,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Peterhouse, MS 178","18th-century binding. Undecorated parchment cover over thin pasteboards. Six sewing stations tanglible as slightly raised bands on spine. Description of the contents of the volume written in ink on the spine in an 18th century hand, now almost completely erased. Small printed paper label fixed to spine bearing the shelfmark designation '178'.; Head and tail bands wrapped in cream, blue, and yellow yarn mostly lost or rolled inside the back ?due to abrasion. ; The left pastedown is paper and contains: 'James 178' in pencil A list of some of the main textual items in the volume including: Tabula cum Comto Mag.i Johannis de Sto Paulo see pag 19 a Richardo phlebotomia 81 Do de signis 86 Do de febribus 166 anathema 295 Summa Richardi 312 Do de ... diebus 395 de pulsibus 397 Questiones Salernitanae ; The inside right cover is a blank leaf of medieval parchment. ; The volume has blue and green thread bookmarks sewn into the outer margin of the opening leaves of a new text; some of these bookmarks have been lost or badly damaged.; Dimensions (L x W x D): 290 x 205 x 95 ; Stored in a grey archive box with ""PETERHOUSE"" written on the box in pencil and a printed label '178' fixed to the box with an adhesive.",,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Clare College, MS 12 ","Late-17th century binding. Full bound in calf over millboard with matching decoration in blind to left and right covers. Covers are decorated with two concentric double-fillet frames, the outermost frame set at the perimeter of the board, the innermost frame inset from the outer by c. 25mm. A fleuron set at each corner of the inner frame pointing towards the nearest corner of the outer frame; fleuron is a stylised fleur-de-lys. Spine is capped at head and tail openings by the cover material folded over and inside the spine; no head or tail bands visible. Five raised bands and a half-band at the tail. Perimeter of each spine compartment decorated with a double fillet. Red morocco label applied to spine with the title TRACTATUS MEDICI tooled in gold.; Paper pastedowns set over the turn ins. Right pastedown is blank. The left pastedown contains: Former shelfmark 'Kk.3.13' in ink, struck out Ownership inscription in pencil 'Clare College James 12' A Clare College shelfmark 'G'.3.2' in ballpoint pen",,,,,1650,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 59/153","Rebound in 1909. Fully bound in leather over wood boards with matching blind-tooled decoration on both covers. Bound by , Cambridge, 1909: stamp on lower turn-in of the J.P. Gray and sonJP Gray & Son, bookbindersinside of the left cover. ; Each cover is decorated with a double-fillet frame inset from the perimeter of the board by c. 10mm, and further divided into two unequal-width vertical panels by an additional double-fillet inset from the joints by c. 45mm. The left panel is decorated with four annulets, one set at each corner of the panel. The right panel is decorated with two fleurons, one set at the upper-, and the other at the lower-left corner of the panel. ; Five raised bands on the spine. Spine compartments are decorated along their upper and lower perimeters with a single fillet. Head and tail bands with alternating red and cream segments. Two small printed paper labels affixed to spine '153' and '59' for the present shelfmark. ; Paper pastedowns. Paper endleaves of the same paper stock at the pastedowns: pp. [a]-[d] at the opening of the volume and pp. [e]-[h] at the close of the volume - all blank. ; Dimensions (l x w x d): 325 x 220 x 50 mm.",,,,,1909,,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 230/116","Blind-stamped and -tooled brown leather binding over wooden boards made by J.P. Gray and Son, Cambridge, 1909 (see the stamp on the inside of the front cover).",,,,1909,1909,1909,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 176/97",17th- or 18th-century reverse brown calfskin with panel design (blind-stamped frames with floral motifs at the cornes of the central frame). ; Binding height: 220mm; width: 150mm; depth: 30mm.,,,,,1600,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 401/623","Early-17th century binding. Fully bound in leather over paste- or millboards with matching decoration in blind to left and right covers. Covers are decorated with two concentric quadruple-fillet frames, the outermost frame set at the perimeter of the boards, the innermost frame inset by c. 20 mm; the frames are connected at their adjacent corners with a quadruple-fillet. Five raised bands on the spine, the upper and lower perimeters of each compartment decorated with a quadruple fillet. Russia leather labels stained black in two compartments with titles tooled in gold: TRACTATUS MEDICI and RIC. DE BARO PLATERARII &c.. Two printed paper labels fixed to the spine with an adhesive, '623' printed in red, and '401' printed in black - these numbers form the current shelfmark of the volume. Damage to upper spine opening, head band torn away; lower spine opening is capped and no tail band is visible. Decorative roll of an acanthus set in an arch along the turn ins and the head, fore, and tail edges of the cover. ; Paper pastedowns over the turn ins. One paper endleaf at each end of the volume (ff. [i] and [ii]). The left pastedown contains a Gonville and Caius bookplate with the numbers '623' and '401' written in ink, and the note 975. Pr. in ink in a corner of the plate. lat",,,,,1600,1650,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 336/725","Modern white leather over heavy wooden boards.; The previous binding and binding materials are kept separately with this manuscript. These include sewing remains from the former binding, linnen patch repairs, the former front cover and the former rear cover ([?]18th-century blind-tooled brown leather) with six former endleaves (ff. former endleaf i recto-former endleaf vi versovi verso). ; Binding height: 260mm; width: 185mm; depth: 70mm.",,,,,1900,2022,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 373/593","Rebound in August 1850. Fully bound in leather over paste- or mill-boards with matching decoration in blind to left and right covers. Covers are decorated with two concentric double-fillet frames, the outermost at the perimeter of the boards, and the inner frame inset from the outer by c. 20mm; double fillets to join the adjacent corners of the outer and inner frames. Diagonal hatched roll applied to the head, fore, and tail edges of the covers and the turn ins. Five raised bands on spine. Spine capped at head and tail by cover leather, no head or tail bands visible. Spine compartments decorated with a double-fillet at the upper and lower perimeters. Small label of red leather fixed to the spine with the title: 'TRACTATUS MEDICI' tooled in gold. Two small printed paper labels fixed to the spine '593' and '373' for the present shelfmark. ; Paper pastedowns. Right pastedown blank. The left pastedown contains: - An ownership note, 'Caius Coll' in pencil - The shelfmarks '593' and '373' in red and black ink respectively - A Gonville and Caius College bookplate - A note in ink 'Rebound. August 1850' ; Two paper endleaves at each end of the volume, ff. [a]-[b] and [c]-[d]; all blank. ; Dimensions (L x W x D): 230 x 150 x 35 mm",,,,1850,1850,1850,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 204/110","?17th century binding. Rebacked. Fully bound in leather over wood boards with matching blind-tooled decoration to front and rear covers. A decorative roll of alternate ovals and maltese crosses present at the perimeter of the boards. A narrow dotted single-fillet frame with Oxford corners inset from the perimeter of the boards by c. 15 mm and enclosing a large centre panel. The centre panel is filled with concentric frames formed with an arcaded roll (c. 8mm wide) with a stylised fleur-de-lis motif in each arcade; the concentric arcade-rolls continue inward until a small rectangular inner panel of c. 20x80mm (w x h) remains at the centre of the cover. A small ?daisy fleuron impressed at each corner of the small inner panel. ; The rear cover is damaged with a number of small straight and lunate marks and gouges, perhaps indicating chained storage at an earlier time.; Four raised bands on the spine. Spine is capped at head and tail, and no head or tail tabs or bands are visible. A title for the the volume tooled in gold on the spine: 'VETUS LIBER ELIENSIS'. Two small printed paper labels fixed to the spine '204' in black and '110' in red for the present shelfmark. ; The cover leather over the head, fore, and tail edges of the boards decorated with a gilded geometric roll (not photographed).; Paper pastedowns pasted over the turn ins. The front pastedown contains a Gonville and Caius College bookplate, the rear pastedown is blank. ; There are two paper endleaves at each end of the volume, pp. [i]-[iv] and [v]-[viii]. Page [iv] contains a note in ink in an ?18th century hand describing the contents of the volume.; There is no information available about when the volume was rebacked.",,,,,1600,1700,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 451/392","Seventeenth- or eighteenth-century paneled binding with a triple-line fillet border frame and central frame on brown leather over millboards, with plain pastedowns. The classmarks 451 and 392 are printed on labels on the spine. ; Binding height: 310mm, width: 220mm, depth: 15mm",,,,,1600,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 178/211",Blind-stamped and -tooled brown leather over wooden boards by J.P. Gray and Son at Cambridge in 1909 (see stamp on the inside of the upper cover).; Binding height: 230mm; width: 150mm; depth: 60mm.,,,,,1909,1909,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 159/209","Rebound in 1909. Fully bound in leather over wood boards with matching blind-tooled decoration on both covers. Each cover is decorated with a double-fillet frame inset from the perimeter of the board by c. 10mm, and further divided into two unequal-width vertical panels by an additional double-fillet inset from the joints by c. 45mm. The narrower left panel is decorated with two fleurons, one set at the upper-, and the other at the lower-right corner of the panel. The broader right panel is decorated with two fleurons, one set at the upper-, and the other at the lower-left corner of the panel. Head and tail bands with alternating segments of red and cream yarn. Five raised bands on spine. Two small printed paper labels fixed to the spine, '209' in red and '145' in black for the present shelfmark. ; Paper pastedowns at each end of the volume; the left pastedown contains a fragment of tawed skin from the former binding and the stamp of the Gray bindery 'J.P. GRAY & SON CAMBRIDGE 1909'. ; Dimensions (L x W x D): 235 x 160 x 55 mm.",,,,,1909,,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 345/620","Rebound in 1913. Fully bound in leather over wood boards with matching blind-tooled decoration on both covers. Each cover is decorated with a double-fillet frame inset from the perimeter of the board by c. 10mm, and further divided into two unequal-width vertical panels by an additional double-fillet inset from the joints by c. 45mm. The left panel is decorated with four annulets, one set at each corner of the panel. The right panel is decorated with two fleurons, one set at the upper-, and the other at the lower-left corner of the panel. Head and tail bands of ?tawed skin are covered in adhesive and trimmed very close to the bookblock. Four raised bands on spine. Two small paper labels fixed to the spine, '620' in red and '345' in black for the present shelfmark. Paper pastedowns at each end of the volume; the left pastedown contains a Gonville and Caius bookplate and the stamp of the Gray bindery 'J.P. GRAY & SON CAMBRIDGE'. ; Dimensions (L x W x D): 245 x 170 x 45 mm.",,,,,1913,,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 400/729","19th century binding. Fully bound in calf over paste- or mill- boards with matching decoration in blind to left and right covers. Covers are each decorated with two concentric triple-fillet frames, the outer frame set at the perimeter of the boards, and the inner frame inset by 20 mm. Each corner of the inner frame is joined to the nearest corner of the outer frame with a triple fillet. Decorative arcade-and-fleur-de-lis roll applied in blind to head, fore, and tail edges of the covers. ; Five raised bands on the spine. Spine is capped at head and tail by the cover material and no head or tail bands are visible. Spine compartments are decorated along their upper and lower perimeters with a triple fillet. Title label applied in black leather with the title ALEX. TRALLIANI ET 3. ALII TRACTATUS tooled in gold. Two small printed paper labels affixed to spine 729 and 400. ; Paper pastedowns, both blank. ; Dimensions: 250 x 180 x 32 mm (L x W x D)",,,,,1800,1900,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 407/413","Medieval binding, perhaps 14th century. Rebacked and repaired after 1908. ; Covers are undecorated whitened skin over wood boards with bevelled edges. Remains of a hook-and-catch type fastening visible as damage in the centre of the fore edge of each board. Spine rebacked in light brown leather; five raised bands visible and two half bands tangible. No head or tail bands or tabs visible. Two small printed paper labels fixed to the spine, one '413' and the other '407' for the current shelfmark. Inner faces of both boards visible; front pastedown lifted and now f. i, back pastedown gone, but offset on the turn in suggests that it was another leaf of the booklet used for the endleaves (ff. i-iv and [v]-[viii]. Front board repaired or recycled in the middle ages as the board has five lacing channels along the fore edge of its inner face, all with signs of use, suggesting that the board was rotated 180° and then replaced in its current position. ; Goville and Caius College bookplate on f. i recto and iv verso. ; Two titles in ink in an early modern hand on the left cover, both badly rubbed. The first, 'Tract pro Con...uris; the second, 'Medicinalia permulsa'. 'Dietarum otonis' in ink on the right cover in a medieval hand.",,,,,1300,1400,low,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 190/223","Limp leather wrapper of thick skin, with flap, extending from right edge. Red stains on the inside of the fold-over flap and centre of left portion of cover, suggesting presence of former metal fastenings. ; Sewing: Two groups of stitches, a number of strands of thin 2 ply thread, cut lose from quires but still in place on leather wrapper. ; Buckram covered box made by Cockerell Bindery, October 1987.",,,,,1440,1659,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 181/214","Fully bound in leather over paste- or mill- boards with matching decoration in blind to left and right covers. Covers are decorated with two concentric triple-fillet frames, the first set at the perimeter of the board and the second inset by c. 15mm. The adjacent corners of the outer and inner frames are joined by a triple fillet. Decorative arcaded roll on the cover material over the head, fore and tail edges of the boards, and on the turn ins. ; Five raised bands on spine. Spine compartments are decorated with a triple-fillet along their upper and lower perimeters. Head and tail bands in alternating segments of cream and blue yarn. Brown leather title label fixed to spine, now partially torn away; originally perhaps 'TRACTATUS ALCHEMICI' tooled in gold. Two small printed paper labels fixed to spine, '214' and '181' for the current shelfmark. ; Paper pastedowns pasted over the turn ins. Pastedowns are waste from a printed book and have been inserted 'upside down' relative to the rest of the volume. The left pastedown contains a Gonville and Caius bookplate with the number '214' written on it in red ink, and a small paper label with the number '181' in brown ink pasted directly below the bookplate. The pastedowns are slightly wormed, and through the wormholes, leaves from a different printed book can be seen below. ; There is a strip from a ?13th century manuscript pasted over each of the hinges ; Binding dimensions (L x W x D): 225 x 145 x 50 mm",,,,,1800,1900,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 98/50",(?)Eighteenth-century paneled brown calf consisting of an outer frame and central frame of triple blind-stamped lines with corner fleurons.; Binding height: 290mm; width: 200mm; depth: 40mm.,,,,,1700,1800,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 366/588","Full bound in tawed skin over wood boards. The covering material is undecorated, but there are traces of a title in ink (perhaps 'Liber Nich...') on the left cover. Four sewing supports.; The manuscript has been rebound since M. R. James examined the volume for his Catalogue which was published in two volumes in 1907-14. The original tawed skin cover has been detached and trimmed to fit within the perimeter of the outer faces of the wood boards, a new tawed skin cover has been applied over the wood boards, and then the original tawed skin cover has been replaced over the top of the newer covering material. The older tawed skin cover is heavily stained and rubbed, and there are large patches where layers of the skin have peeled or scraped off. When M. R. James examined the volume, he noted that it had 'red clasps, broken'; these clasps are not present on the current binding. Two small printed paper labels indicating the current shelfmark of the item are affixed to the spine, the upper label has the number '588' printed in red ink and the lower label has the number '366' printed in black ink.; The current binding has post-1908 paper pastedowns. The left pastedown contains a Gonville and Caius armorial bookplate with the number '588' corrected from '585' handwritten in red ink, and the number '366' handwritten in black ink. The number '585' is written in pencil in the upper outer corner of the pastedown, and is probably an error for the shelfmark '588'. Leaves f. i and f. 96 were probably the pastedowns in an earlier binding, as both have adhesive residue on their outer faces. ; The date and the binder of the post-1908 rebinding is not known.",,,,,1200,1500,,,,,,,,,,,,
_binding_1,manuscript_1,,,"Cambridge, Gonville and Caius College, MS 84/166",Old 14th or 15th-century binding of skin over wooden boards with the remains of a clasp and pin at the front and rear covers,,,,,1300,1500,,,,,,,,,,,,
