section,heading,auth_file,xpath,separator,comment
associated subjects,grammar,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""grammar""]/@xml:id
)",,
associated subjects,clergy,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""clergy""]/@xml:id
)",,
associated subjects,rhetoric,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""rhetoric""]/@xml:id
)",,
associated subjects,geography,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""geography""]/@xml:id
)",,
associated subjects,natural history,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""natural history""]/@xml:id
)",,
associated subjects,politics and government,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""politics and government""]/@xml:id
)",,
associated subjects,music,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""music""]/@xml:id
)",,
associated subjects,indexes,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""indexes""]/@xml:id
)",,
associated subjects,conduct,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""conduct""]/@xml:id
)",,
associated subjects,heraldry,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""heraldry""]/@xml:id
)",,
associated subjects,magic,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""magic""]/@xml:id
)",,
associated subjects,bibliography,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""bibliography""]/@xml:id
)",,
associated subjects,recreation,works,"//tei:bibl[@xml:id]/boolean(tei:term/@ref/translate(., ""#"", """") =  ancestor::tei:TEI/tei:teiHeader/tei:encodingDesc/tei:classDecl/tei:taxonomy/tei:category[@xml:id and tei:catDesc = ""recreation""]/@xml:id
)",,
bibliography and notes,edition(s),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:bibl[@type=""edition""]/string-join(., """"), ""; ""))",,
bibliography and notes,edition URI(s),works,"//tei:bibl[@xml:id]/string-join(tei:bibl[@type=""edition""]/tei:ref/@target, "" "")",,
bibliography and notes,repertory/ies,works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:bibl[@type=""repertory""]/string-join(., """"), ""; ""))",,
bibliography and notes,repertory URI(s),works,"//tei:bibl[@xml:id]/string-join(tei:bibl[@type=""repertory""]/tei:ref/@target, "" "")",,
bibliography and notes,other bibl(s),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:bibl[not(@type)]/string-join(., """"), ""; ""))",,
bibliography and notes,note(s),works,"//tei:bibl[@xml:id]/normalize-space(string-join(tei:note[not(@type)]/string-join(., """"), ""; ""))",,
